[2013-11-16 07:19:26] mfeltner, quitting. (Ping timeout: 240 seconds)
[2013-11-16 07:56:12] smccarthy, joining. (#selenium)
[2013-11-16 08:16:01] mfeltner, joining. (#selenium)
[2013-11-16 08:20:14] mfeltner, quitting. (Ping timeout: 240 seconds)
[2013-11-16 08:42:51] p_l, joining. (#selenium)
[2013-11-16 08:46:43] markboxall, joining. (#selenium)
[2013-11-16 08:46:47] p_l, quitting. (Read error: Operation timed out)
[2013-11-16 08:51:12] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-16 09:02:18] jibay, joining. (#selenium)
[2013-11-16 09:16:54] mfeltner, joining. (#selenium)
[2013-11-16 09:21:02] mfeltner, quitting. (Ping timeout: 240 seconds)
[2013-11-16 09:24:47] albioner, joining. (#selenium)
[2013-11-16 09:30:51] p0deje, quitting. (Quit: p0deje)
[2013-11-16 09:32:09] Dude-X, joining. (#selenium)
[2013-11-16 09:35:07] Scoding, quitting. (Remote host closed the connection)
[2013-11-16 09:43:20] AdamDangoor, quitting. (Quit: Leaving...)
[2013-11-16 09:45:20] admc, joining. (#selenium)
[2013-11-16 09:51:54] p_l, joining. (#selenium)
[2013-11-16 10:01:07] Dude-X, quitting. (Quit: Dude-X)
[2013-11-16 10:15:26] albioner, quitting. (Quit: Laptop went to sleep. ZZZzzz…)
[2013-11-16 10:20:22] Dude-X, joining. (#selenium)
[2013-11-16 10:35:30] markboxall, joining. (#selenium)
[2013-11-16 10:38:53] noahsussman, quitting. (Remote host closed the connection)
[2013-11-16 10:40:22] markboxall, quitting. (Ping timeout: 268 seconds)
[2013-11-16 10:44:27] admc, quitting. (Quit: Leaving.)
[2013-11-16 10:46:09] mfeltner, joining. (#selenium)
[2013-11-16 10:52:51] stephend, joining. (#selenium)
[2013-11-16 11:00:38] mfeltner, quitting. (Remote host closed the connection)
[2013-11-16 11:01:04] smccarthy, quitting. (Remote host closed the connection)
[2013-11-16 11:05:51] mfeltner, joining. (#selenium)
[2013-11-16 11:09:10] noahsussman, joining. (#selenium)
[2013-11-16 11:18:51] noahsussman, quitting. (Ping timeout: 265 seconds)
[2013-11-16 11:20:01] Dude-X, quitting. (Quit: Dude-X)
[2013-11-16 11:47:47] Oscar1, joining. (#selenium)
[2013-11-16 11:49:18] noahsussman, joining. (#selenium)
[2013-11-16 11:51:53] SamuraiJack, quitting. (Ping timeout: 272 seconds)
[2013-11-16 11:53:45] noahsussman, quitting. (Ping timeout: 245 seconds)
[2013-11-16 11:57:49] admc, joining. (#selenium)
[2013-11-16 12:15:34] dimacus, joining. (#selenium)
[2013-11-16 12:16:31] admc, quitting. (Quit: Leaving.)
[2013-11-16 12:17:56] dimacus, quitting. (Client Quit)
[2013-11-16 12:19:35] tourdedave, quitting. (Quit: My MacBook has gone to sleep. ZZZzzz…)
[2013-11-16 12:24:26] markboxall, joining. (#selenium)
[2013-11-16 12:29:00] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-16 12:41:24] tourdedave, joining. (#selenium)
[2013-11-16 12:42:01] Oscar1, quitting. (Quit: Leaving.)
[2013-11-16 12:44:57] Oscar1, joining. (#selenium)
[2013-11-16 12:49:47] AdamDangoor, joining. (#selenium)
[2013-11-16 13:09:13] Oscar, joining. (#selenium)
[2013-11-16 13:12:13] Oscar1, quitting. (Ping timeout: 272 seconds)
[2013-11-16 13:15:36] Oscar, quitting. (Ping timeout: 245 seconds)
[2013-11-16 13:43:38] mboman|AFK, quitting. (Ping timeout: 272 seconds)
[2013-11-16 13:47:25] mboman|AFK, joining. (#selenium)
[2013-11-16 13:52:05] mboman|AFK, quitting. (Ping timeout: 248 seconds)
[2013-11-16 14:01:32] AdamDangoor, quitting. (Quit: Leaving...)
[2013-11-16 14:06:51] stephend, quitting. (Remote host closed the connection)
[2013-11-16 14:07:17] stephend, joining. (#selenium)
[2013-11-16 14:11:47] stephend, quitting. (Ping timeout: 260 seconds)
[2013-11-16 14:13:22] markboxall, joining. (#selenium)
[2013-11-16 14:15:29] davidlai, joining. (#selenium)
[2013-11-16 14:17:54] markboxall, quitting. (Ping timeout: 253 seconds)
[2013-11-16 14:19:32] mboman|AFK, joining. (#selenium)
[2013-11-16 14:33:14] davidlai, quitting. (Quit: Leaving.)
[2013-11-16 14:34:26] mboman|AFK, quitting. (Ping timeout: 264 seconds)
[2013-11-16 14:36:04] davidlai, joining. (#selenium)
[2013-11-16 14:41:33] phasze1, quitting. (Ping timeout: 252 seconds)
[2013-11-16 14:42:28] mboman|AFK, joining. (#selenium)
[2013-11-16 14:51:45] mboman|AFK, quitting. (Ping timeout: 272 seconds)
