[2013-11-10 10:13:12] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-10 10:19:04] hum_ph, quitting. (Ping timeout: 264 seconds)
[2013-11-10 10:34:24] pratik, joining. (#selenium)
[2013-11-10 10:35:04] noahsussman, quitting. (Read error: Connection reset by peer)
[2013-11-10 10:35:23] pratik: is there anyone avalible on chat?
[2013-11-10 10:35:29] noahsussman, joining. (#selenium)
[2013-11-10 10:39:07] pratik: hi noahsussman
[2013-11-10 10:39:38] *noahsussman waves'
[2013-11-10 10:42:12] noahsussman, quitting. (Remote host closed the connection)
[2013-11-10 10:42:14] mreedell-work, joining. (#selenium)
[2013-11-10 10:42:38] hum_ph, joining. (#selenium)
[2013-11-10 10:42:38] noahsussman, joining. (#selenium)
[2013-11-10 10:43:37] pratik: hey everyone
[2013-11-10 10:44:06] pratik: I am facing problem in element locator....can anyone help me ...
[2013-11-10 10:47:13] noahsussman, quitting. (Ping timeout: 252 seconds)
[2013-11-10 10:50:10] eaj, joining. (#selenium)
[2013-11-10 10:51:14] hum_ph, quitting. (Ping timeout: 264 seconds)
[2013-11-10 10:51:54] bpayton, quitting. (Quit: Computer has gone to sleep.)
[2013-11-10 10:56:08] bpayton, joining. (#selenium)
[2013-11-10 10:56:08] bpayton, quitting. (Changing host)
[2013-11-10 10:56:08] bpayton, joining. (#selenium)
[2013-11-10 10:58:21] mreedell-work, quitting. (Quit: Computer has gone to sleep.)
[2013-11-10 11:01:56] pratik, quitting. (Quit: Page closed)
[2013-11-10 11:05:41] eaj, quitting. (Quit: Leaving...)
[2013-11-10 11:13:35] noahsussman, joining. (#selenium)
[2013-11-10 11:18:06] noahsussman, quitting. (Ping timeout: 245 seconds)
[2013-11-10 11:32:10] bpayton, quitting. (Quit: Computer has gone to sleep.)
[2013-11-10 11:34:37] noahsussman, joining. (#selenium)
[2013-11-10 11:37:16] hum_ph, joining. (#selenium)
[2013-11-10 11:38:14] stephend, joining. (#selenium)
[2013-11-10 11:43:05] hum_ph, quitting. (Ping timeout: 272 seconds)
[2013-11-10 11:52:38] admc, joining. (#selenium)
[2013-11-10 11:57:17] markboxall, joining. (#selenium)
[2013-11-10 11:58:38] mboman|AFK, changing nick to mboman.
[2013-11-10 11:58:38] mboman, quitting. (Changing host)
[2013-11-10 11:58:38] mboman, joining. (#selenium)
[2013-11-10 12:01:33] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-10 12:01:52] bpayton, joining. (#selenium)
[2013-11-10 12:01:52] bpayton, quitting. (Changing host)
[2013-11-10 12:01:52] bpayton, joining. (#selenium)
[2013-11-10 12:09:08] hum_ph, joining. (#selenium)
[2013-11-10 12:13:25] hum_ph, quitting. (Ping timeout: 248 seconds)
[2013-11-10 12:29:51] admc, quitting. (Quit: Leaving.)
[2013-11-10 12:50:49] noahsussman, quitting. (Remote host closed the connection)
[2013-11-10 12:51:16] noahsussman, joining. (#selenium)
[2013-11-10 12:55:50] noahsussman, quitting. (Ping timeout: 245 seconds)
[2013-11-10 12:57:20] admc, joining. (#selenium)
[2013-11-10 13:07:26] noahsussman, joining. (#selenium)
[2013-11-10 13:09:15] Dude-X_, quitting. (Read error: Connection reset by peer)
[2013-11-10 13:10:07] Dude-X_, joining. (#selenium)
[2013-11-10 13:16:32] Dude-X_, quitting. ()
[2013-11-10 13:18:27] Dude-X_, joining. (#selenium)
[2013-11-10 13:33:06] sbos99, quitting. (Ping timeout: 245 seconds)
[2013-11-10 13:46:10] markboxall, joining. (#selenium)
[2013-11-10 13:50:27] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-10 13:50:37] davidlai, joining. (#selenium)
[2013-11-10 13:51:40] davidlai, quitting. (Client Quit)
[2013-11-10 14:08:28] albioner, joining. (#selenium)
[2013-11-10 14:21:57] hum_ph, joining. (#selenium)
[2013-11-10 14:29:05] noahsussman, quitting. (Remote host closed the connection)
[2013-11-10 14:29:31] noahsussman, joining. (#selenium)
[2013-11-10 14:30:17] tourdedave, joining. (#selenium)
[2013-11-10 14:34:10] noahsussman, quitting. (Ping timeout: 245 seconds)
[2013-11-10 14:37:56] smccarthy, joining. (#selenium)
[2013-11-10 14:40:50] admc, quitting. (Quit: Leaving.)
[2013-11-10 14:44:40] AutomatedTester_, joining. (#selenium)
[2013-11-10 14:47:01] p_l, quitting. (Ping timeout: 248 seconds)
[2013-11-10 14:49:29] p_l, joining. (#selenium)
[2013-11-10 15:00:25] noahsussman, joining. (#selenium)
[2013-11-10 15:09:35] noahsussman, quitting. (Ping timeout: 245 seconds)
[2013-11-10 15:10:11] AutomatedTester_, quitting. (Remote host closed the connection)
[2013-11-10 15:18:40] hum_ph, quitting. (Ping timeout: 265 seconds)
[2013-11-10 15:25:17] noahsussman, joining. (#selenium)
[2013-11-10 15:35:08] markboxall, joining. (#selenium)
[2013-11-10 15:37:10] bpayton, quitting. (Quit: Computer has gone to sleep.)
[2013-11-10 15:38:41] smccarthy, quitting. (Ping timeout: 272 seconds)
[2013-11-10 15:39:54] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-10 15:46:08] mreedell-work, joining. (#selenium)
[2013-11-10 15:50:29] mreedell-work, quitting. (Ping timeout: 248 seconds)
[2013-11-10 15:55:00] noahsussman, quitting. (Remote host closed the connection)
[2013-11-10 15:55:26] noahsussman, joining. (#selenium)
[2013-11-10 15:59:49] noahsussman, quitting. (Ping timeout: 240 seconds)
[2013-11-10 16:25:58] noahsussman, joining. (#selenium)
[2013-11-10 16:27:37] smccarthy, joining. (#selenium)
[2013-11-10 16:35:38] noahsussman, quitting. (Ping timeout: 264 seconds)
[2013-11-10 16:56:15] tilgovi, joining. (#selenium)
[2013-11-10 16:57:16] jimevans, joining. (#selenium)
[2013-11-10 17:03:34] AutomatedTester_, joining. (#selenium)
[2013-11-10 17:13:49] tilgovi, quitting. (Remote host closed the connection)
[2013-11-10 17:17:09] farlan, joining. (#selenium)
[2013-11-10 17:24:00] markboxall, joining. (#selenium)
[2013-11-10 17:26:39] noahsussman, joining. (#selenium)
[2013-11-10 17:28:15] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-10 17:36:05] noahsussman, quitting. (Ping timeout: 248 seconds)
[2013-11-10 18:01:58] noahsussman, joining. (#selenium)
[2013-11-10 18:12:41] Dude-X, joining. (#selenium)
[2013-11-10 18:25:27] nirvdrum, quitting. (Ping timeout: 252 seconds)
[2013-11-10 18:25:54] jimevans: :spec
[2013-11-10 18:25:55] selbot2: http://dvcs.w3.org/hg/webdriver/raw-file/tip/webdriver-spec.html | http://dvcs.w3.org/hg/webdriver/
[2013-11-10 18:29:39] stephend, quitting. (Remote host closed the connection)
[2013-11-10 18:30:05] stephend, joining. (#selenium)
[2013-11-10 18:30:07] AutomatedTester_, quitting. (Remote host closed the connection)
[2013-11-10 18:30:13] KaibutsuX_dopple, quitting. (Ping timeout: 272 seconds)
[2013-11-10 18:31:40] KaibutsuX_dopple, joining. (#selenium)
[2013-11-10 18:35:01] stephend, quitting. (Ping timeout: 272 seconds)
[2013-11-10 18:39:02] nirvdrum, joining. (#selenium)
[2013-11-10 18:39:04] Dude-X, quitting. (Quit: Dude-X)
[2013-11-10 18:41:53] lord1234, quitting. (Quit: Leaving.)
[2013-11-10 18:44:35] KaibutsuX_dopple, quitting. (Ping timeout: 245 seconds)
[2013-11-10 18:45:11] KaibutsuX_dopple, joining. (#selenium)
[2013-11-10 18:49:01] Dude-X, joining. (#selenium)
[2013-11-10 18:53:05] smccarthy, quitting. (Remote host closed the connection)
[2013-11-10 19:00:46] stephend, joining. (#selenium)
[2013-11-10 19:05:09] stephend, quitting. (Ping timeout: 252 seconds)
[2013-11-10 19:11:09] AutomatedTester_, joining. (#selenium)
[2013-11-10 19:12:53] markboxall, joining. (#selenium)
[2013-11-10 19:17:09] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-10 20:06:28] sbos99, joining. (#selenium)
[2013-11-10 20:13:46] jlipps, joining. (#selenium)
[2013-11-10 20:14:25] Dude-X, quitting. (Quit: Dude-X)
[2013-11-10 20:14:40] SamuraiJack, joining. (#selenium)
[2013-11-10 20:18:14] jlipps, quitting. (Ping timeout: 264 seconds)
[2013-11-10 20:33:54] jimevans, quitting. (Quit: Leaving.)
[2013-11-10 20:34:05] AutomatedTester_, quitting. (Remote host closed the connection)
[2013-11-10 20:35:13] AutomatedTester_, joining. (#selenium)
[2013-11-10 20:40:04] AutomatedTester_, quitting. (Ping timeout: 264 seconds)
[2013-11-10 20:59:45] jibay_, quitting. (Quit: Leaving)
[2013-11-10 21:01:37] markboxall, joining. (#selenium)
[2013-11-10 21:05:50] markboxall, quitting. (Ping timeout: 245 seconds)
[2013-11-10 21:18:43] Dude-X, joining. (#selenium)
[2013-11-10 21:22:30] barancev, quitting. (Read error: Connection reset by peer)
[2013-11-10 21:22:35] sbos99, quitting. (Quit: Leaving)
