[2013-11-24 08:41:32] richdownie, joining. (#selenium)
[2013-11-24 08:41:32] richdownie, quitting. (Client Quit)
[2013-11-24 08:44:30] dimacus, joining. (#selenium)
[2013-11-24 08:45:25] mboman|AFK, quitting. (Ping timeout: 248 seconds)
[2013-11-24 08:45:43] mboman|AFK, joining. (#selenium)
[2013-11-24 08:48:44] Dude-X, joining. (#selenium)
[2013-11-24 08:51:51] PaulB010101, quitting. (Remote host closed the connection)
[2013-11-24 08:58:33] dimacus, quitting. (Quit: Leaving.)
[2013-11-24 08:59:59] dimacus, joining. (#selenium)
[2013-11-24 09:01:04] dimacus, quitting. (Client Quit)
[2013-11-24 09:01:20] dimacus, joining. (#selenium)
[2013-11-24 09:17:09] Selenium-Git, joining. (#selenium)
[2013-11-24 09:17:09] Selenium-Git, leaving. (#selenium)
[2013-11-24 09:17:09] Selenium-Git: [13selenium] 15ulrichb opened pull request #138: Issue 6343 (DefaultWait.Until() should rethrow without swallowing the original stacktrace) (06master...06issue_6343) 02http://git.io/D_yc7Q
[2013-11-24 09:25:08] p_l, quitting. (Remote host closed the connection)
[2013-11-24 09:35:17] p_l, joining. (#selenium)
[2013-11-24 09:38:12] gittish, quitting. (Quit: gittish)
[2013-11-24 09:50:06] mboman|AFK, quitting. (Ping timeout: 240 seconds)
[2013-11-24 09:50:24] mboman|AFK, joining. (#selenium)
[2013-11-24 09:55:04] mboman|AFK, quitting. (Ping timeout: 264 seconds)
[2013-11-24 09:56:27] mboman|AFK, joining. (#selenium)
[2013-11-24 09:56:44] gittish, joining. (#selenium)
[2013-11-24 09:58:17] noahsussman, joining. (#selenium)
[2013-11-24 10:06:48] mboman|AFK, quitting. (Ping timeout: 245 seconds)
[2013-11-24 10:09:05] mboman|AFK, joining. (#selenium)
[2013-11-24 10:13:27] mboman|AFK, quitting. (Ping timeout: 241 seconds)
[2013-11-24 10:14:29] smccarthy, quitting. (Remote host closed the connection)
[2013-11-24 10:15:06] smccarthy, joining. (#selenium)
[2013-11-24 10:15:08] noahsussman, quitting. (Remote host closed the connection)
[2013-11-24 10:16:03] mboman|AFK, joining. (#selenium)
[2013-11-24 10:16:48] kedoodek, quitting. (Ping timeout: 246 seconds)
[2013-11-24 10:16:50] smccarthy2, joining. (#selenium)
[2013-11-24 10:17:57] noahsussman, joining. (#selenium)
[2013-11-24 10:19:50] markboxall, joining. (#selenium)
[2013-11-24 10:20:21] smccarthy, quitting. (Ping timeout: 248 seconds)
[2013-11-24 10:21:18] mboman|AFK, quitting. (Ping timeout: 272 seconds)
[2013-11-24 10:21:52] mboman|AFK, joining. (#selenium)
[2013-11-24 10:23:07] Dude-X, quitting. (Quit: Dude-X)
[2013-11-24 10:23:12] kedoodek, joining. (#selenium)
[2013-11-24 10:24:28] markboxall, quitting. (Ping timeout: 264 seconds)
[2013-11-24 10:31:56] ato: :note santiycr We need to talk docs (-:
[2013-11-24 10:31:56] selbot2: ok!
[2013-11-24 10:35:11] mboman|AFK, quitting. (Ping timeout: 252 seconds)
[2013-11-24 10:37:41] mboman|AFK, joining. (#selenium)
[2013-11-24 10:37:42] Dude-X, joining. (#selenium)
[2013-11-24 10:38:09] Dude-X, quitting. (Client Quit)
[2013-11-24 10:40:56] noahsussman, quitting. (Remote host closed the connection)
[2013-11-24 11:04:38] SamuraiJack__, quitting. (Ping timeout: 272 seconds)
