[2013-10-20 07:45:22] noahsussman, joining. (#selenium)
[2013-10-20 07:45:41] DrJenkin_, joining. (#selenium)
[2013-10-20 07:48:02] admc, joining. (#selenium)
[2013-10-20 07:50:54] noahsussman, quitting. (Ping timeout: 256 seconds)
[2013-10-20 07:52:16] elopio, quitting. (Ping timeout: 245 seconds)
[2013-10-20 07:52:53] admc, quitting. (Ping timeout: 272 seconds)
[2013-10-20 07:54:11] DrJenkin_, quitting. (Ping timeout: 265 seconds)
[2013-10-20 08:15:57] noahsussman, joining. (#selenium)
[2013-10-20 08:18:48] admc, joining. (#selenium)
[2013-10-20 08:20:39] DrJenkins, joining. (#selenium)
[2013-10-20 08:20:59] noahsussman, quitting. (Ping timeout: 240 seconds)
[2013-10-20 08:23:11] admc, quitting. (Ping timeout: 265 seconds)
[2013-10-20 08:24:03] elopio, joining. (#selenium)
[2013-10-20 08:25:27] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-10-20 08:37:56] noahsussman, joining. (#selenium)
[2013-10-20 08:41:11] su, joining. (#selenium)
[2013-10-20 08:41:35] su, changing nick to Guest20736.
[2013-10-20 08:42:31] seljenkinsbot: Project SeleniumHQ build #142: SUCCESS in 50 sec: http://ci.seleniumhq.org:8080/job/SeleniumHQ/142/
[2013-10-20 08:42:32] seljenkinsbot: Alexei Barantsev: Fixes issue 5997
[2013-10-20 08:43:17] noahsussman, quitting. (Ping timeout: 272 seconds)
[2013-10-20 08:43:21] Guest20736, quitting. (Client Quit)
[2013-10-20 08:49:30] admc, joining. (#selenium)
[2013-10-20 08:52:54] DrJenkins, joining. (#selenium)
[2013-10-20 08:53:41] admc, quitting. (Ping timeout: 248 seconds)
[2013-10-20 08:55:13] schweens, joining. (#selenium)
[2013-10-20 08:55:32] noahsussman, joining. (#selenium)
[2013-10-20 08:55:33] noahsussman, quitting. (Remote host closed the connection)
[2013-10-20 08:55:39] noahsussman, joining. (#selenium)
[2013-10-20 08:57:25] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-10-20 09:09:02] noahsussman, quitting. (Remote host closed the connection)
[2013-10-20 09:09:28] noahsussman, joining. (#selenium)
[2013-10-20 09:10:09] dimacus, joining. (#selenium)
[2013-10-20 09:11:36] dimacus, leaving. (#selenium)
[2013-10-20 09:14:19] noahsussman, quitting. (Ping timeout: 272 seconds)
[2013-10-20 09:20:10] admc, joining. (#selenium)
[2013-10-20 09:22:42] Eleccy, quitting. (Ping timeout: 256 seconds)
[2013-10-20 09:23:09] Eleccy, joining. (#selenium)
[2013-10-20 09:25:05] admc, quitting. (Ping timeout: 272 seconds)
[2013-10-20 09:25:11] DrJenkins, joining. (#selenium)
[2013-10-20 09:29:53] DrJenkins, quitting. (Ping timeout: 265 seconds)
[2013-10-20 09:30:38] Eleccy, quitting. (Ping timeout: 256 seconds)
[2013-10-20 09:39:13] Eleccy, joining. (#selenium)
[2013-10-20 09:50:54] admc, joining. (#selenium)
[2013-10-20 09:55:45] admc, quitting. (Ping timeout: 272 seconds)
[2013-10-20 09:57:27] DrJenkins, joining. (#selenium)
[2013-10-20 10:01:38] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-10-20 10:20:04] noahsussman, joining. (#selenium)
[2013-10-20 10:21:36] admc, joining. (#selenium)
[2013-10-20 10:24:35] noahsussman, quitting. (Ping timeout: 245 seconds)
[2013-10-20 10:25:48] admc, quitting. (Ping timeout: 240 seconds)
[2013-10-20 10:29:43] DrJenkins, joining. (#selenium)
[2013-10-20 10:33:27] DrJenkins, quitting. (Read error: Operation timed out)
[2013-10-20 10:37:09] seljenkinsbot: Project SeleniumHQ build #143: SUCCESS in 28 sec: http://ci.seleniumhq.org:8080/job/SeleniumHQ/143/
[2013-10-20 10:37:09] seljenkinsbot: Alexei Barantsev: Fixes issue 6184
[2013-10-20 10:48:31] fatguylaughing, quitting. (Quit: fatguylaughing)
[2013-10-20 10:52:18] admc, joining. (#selenium)
[2013-10-20 10:54:11] jimpurbrick1, joining. (#selenium)
[2013-10-20 10:55:15] jimpurbrick, quitting. (Read error: Connection reset by peer)
[2013-10-20 10:56:28] admc, quitting. (Ping timeout: 240 seconds)
[2013-10-20 10:57:15] jimpurbrick, joining. (#selenium)
[2013-10-20 10:59:14] jimpurbrick, quitting. (Read error: Connection reset by peer)
[2013-10-20 10:59:21] jimpurbrick1, quitting. (Ping timeout: 272 seconds)
[2013-10-20 10:59:32] jimpurbrick, joining. (#selenium)
