[2015-03-21 13:37:46] Mixologic, quitting. (Ping timeout: 264 seconds)
[2015-03-21 13:39:21] oriba_, changing nick to oriba.
[2015-03-21 13:46:15] po0dle, joining. (#selenium)
[2015-03-21 13:46:45] po0dle: Can Selenium deal with Java applets?
[2015-03-21 13:46:57] rochadt, quitting. (Ping timeout: 245 seconds)
[2015-03-21 13:49:41] lukeis, joining. (#selenium)
[2015-03-21 14:01:22] rochadt, joining. (#selenium)
[2015-03-21 14:01:22] lukeis, quitting. (Read error: Connection reset by peer)
[2015-03-21 14:01:47] lukeis, joining. (#selenium)
[2015-03-21 14:21:11] lukeis, quitting. (Quit: Leaving.)
[2015-03-21 14:22:22] HenriettaSalt, joining. (#selenium)
[2015-03-21 14:23:25] HenriettaSalt, quitting. (Read error: Connection reset by peer)
[2015-03-21 14:23:44] HenriettaSalt, joining. (#selenium)
[2015-03-21 14:28:03] HenriettaSalt, quitting. (Client Quit)
[2015-03-21 14:41:15] tony3, joining. (#selenium)
[2015-03-21 14:50:42] ato: po0dle: Nope.
[2015-03-21 14:51:24] po0dle: Aww : (
[2015-03-21 14:51:44] HenriettaSalt, joining. (#selenium)
[2015-03-21 15:02:29] nirvdrum, joining. (#selenium)
[2015-03-21 15:21:55] ato: po0dle: WebDriver automates the web platform.
[2015-03-21 15:22:05] ato: po0dle: You'll need to look for a Java applet automation solution.
[2015-03-21 15:25:14] oriba, quitting. (Quit: Verlassend)
[2015-03-21 15:26:37] HenriettaSalt, quitting. (Quit: Zzzzz...)
[2015-03-21 15:27:10] HenriettaSalt, joining. (#selenium)
[2015-03-21 15:31:58] HenriettaSalt, quitting. (Ping timeout: 256 seconds)
[2015-03-21 15:40:37] Simos, quitting. (Remote host closed the connection)
[2015-03-21 15:40:53] tony3, quitting. (Quit: Leaving.)
[2015-03-21 15:51:40] gbola, joining. (#selenium)
[2015-03-21 15:54:10] Selenium-Github: [13selenium] 15innokenty-shuvalov opened pull request #357: add logging of a caught exception in TestSession (06master...06master) 02http://git.io/hDP6
[2015-03-21 15:59:44] gbola, quitting. (Ping timeout: 252 seconds)
[2015-03-21 16:15:38] Hestil, quitting. (Remote host closed the connection)
[2015-03-21 16:18:25] gbola_: hello
[2015-03-21 16:26:35] tony3, joining. (#selenium)
[2015-03-21 16:43:38] po0dle, quitting. ()
[2015-03-21 16:47:01] fatguylaughing, joining. (#selenium)
[2015-03-21 16:47:44] fatguylaughing, quitting. (Client Quit)
[2015-03-21 17:11:14] brian, joining. (#selenium)
[2015-03-21 17:11:36] brian, changing nick to Guest4140.
[2015-03-21 17:43:34] errant_rider, joining. (#selenium)
[2015-03-21 17:50:21] errant_rider, quitting. (Quit: Leaving.)
[2015-03-21 17:50:36] errant_rider, joining. (#selenium)
[2015-03-21 18:18:09] farlan1, joining. (#selenium)
[2015-03-21 18:18:09] farlan, quitting. (Read error: Connection reset by peer)
[2015-03-21 18:20:14] e661, quitting. (Quit: e661)
[2015-03-21 18:21:36] cromero, quitting. (Remote host closed the connection)
[2015-03-21 18:21:39] e661, joining. (#selenium)
[2015-03-21 18:21:49] tony3, quitting. (Quit: Leaving.)
[2015-03-21 18:33:42] AnConio, quitting. (Ping timeout: 246 seconds)
[2015-03-21 19:07:05] cromero, joining. (#selenium)
[2015-03-21 19:13:56] e661, quitting. (Quit: e661)
[2015-03-21 19:25:02] eigenvalue, quitting. (Ping timeout: 245 seconds)
[2015-03-21 19:57:28] nirvdrum, quitting. (Ping timeout: 246 seconds)
[2015-03-21 20:06:35] errant_rider, quitting. (Quit: Leaving.)
[2015-03-21 20:37:01] smccarthy, joining. (#selenium)
[2015-03-21 21:01:33] djinni, quitting. (Ping timeout: 245 seconds)
[2015-03-21 21:01:34] djinni, joining. (#selenium)
[2015-03-21 21:13:59] e661, joining. (#selenium)
[2015-03-21 21:15:30] cromero, quitting. (Remote host closed the connection)
[2015-03-21 21:35:07] smccarthy, quitting. (Quit: Leaving...)
[2015-03-21 21:49:47] e661, quitting. (Quit: e661)
[2015-03-21 22:40:55] Mixologic, joining. (#selenium)
[2015-03-21 22:57:19] cromero, joining. (#selenium)
[2015-03-21 23:27:10] djinni_, joining. (#selenium)
[2015-03-21 23:30:15] djinni, quitting. (*.net *.split)
[2015-03-21 23:30:15] Jaykul, quitting. (*.net *.split)
[2015-03-21 23:30:21] Jayku1, joining. (#selenium)
[2015-03-21 23:30:31] Jayku1, changing nick to Jaykul.
[2015-03-21 23:44:38] cromero, quitting. (Remote host closed the connection)
