[2013-05-05 03:34:24] seljenkinsbot, quitting. (*.net *.split)
[2013-05-05 03:34:24] iblue, quitting. (*.net *.split)
[2013-05-05 03:34:24] dhpe, quitting. (*.net *.split)
[2013-05-05 03:34:24] KaibutsuX, quitting. (*.net *.split)
[2013-05-05 03:34:24] sahazel, quitting. (*.net *.split)
[2013-05-05 03:34:24] hugs_, quitting. (*.net *.split)
[2013-05-05 03:34:24] txwikinger, quitting. (*.net *.split)
[2013-05-05 03:34:25] admc, quitting. (*.net *.split)
[2013-05-05 03:34:25] floppyears, quitting. (*.net *.split)
[2013-05-05 03:34:25] munro, quitting. (*.net *.split)
[2013-05-05 03:34:25] Dude-X_, quitting. (*.net *.split)
[2013-05-05 03:34:25] vazakl-, quitting. (*.net *.split)
[2013-05-05 03:34:25] xirkus_, quitting. (*.net *.split)
[2013-05-05 03:34:25] melter, quitting. (*.net *.split)
[2013-05-05 03:34:25] nhirata, quitting. (*.net *.split)
[2013-05-05 03:34:25] dross, quitting. (*.net *.split)
[2013-05-05 03:34:26] jbonacci, quitting. (*.net *.split)
[2013-05-05 03:34:26] Moo-_-, quitting. (*.net *.split)
[2013-05-05 03:34:26] barancev, quitting. (*.net *.split)
[2013-05-05 03:34:26] krosenvold__, quitting. (*.net *.split)
[2013-05-05 03:34:26] AutomatedTester, quitting. (*.net *.split)
[2013-05-05 03:34:26] Getty, quitting. (*.net *.split)
[2013-05-05 03:34:27] andreastt, quitting. (*.net *.split)
[2013-05-05 03:34:27] agustinf, quitting. (*.net *.split)
[2013-05-05 03:34:27] Hz0, quitting. (*.net *.split)
[2013-05-05 03:34:27] housewifehacker1, quitting. (*.net *.split)
[2013-05-05 03:34:27] knorrium, quitting. (*.net *.split)
[2013-05-05 03:34:27] JavaFerr1t, quitting. (*.net *.split)
[2013-05-05 03:34:27] jualam, quitting. (*.net *.split)
[2013-05-05 03:34:27] eghm, quitting. (*.net *.split)
[2013-05-05 03:34:27] Bracki_, quitting. (*.net *.split)
[2013-05-05 03:34:28] djinni_, quitting. (*.net *.split)
[2013-05-05 03:34:28] sedulous, quitting. (*.net *.split)
[2013-05-05 03:34:28] akoumjian, quitting. (*.net *.split)
[2013-05-05 03:34:28] ztane, quitting. (*.net *.split)
[2013-05-05 03:38:57] p0deje, joining. (#selenium)
[2013-05-05 03:40:12] phishy, joining. (#selenium)
[2013-05-05 03:41:49] christoe, joining. (#selenium)
[2013-05-05 03:41:49] jyrkip, joining. (#selenium)
[2013-05-05 03:41:49] trcjr, joining. (#selenium)
[2013-05-05 03:41:49] eanxgeek|log, joining. (#selenium)
[2013-05-05 03:41:49] imphasing, joining. (#selenium)
[2013-05-05 03:41:49] diminoten, joining. (#selenium)
[2013-05-05 03:41:49] mika, joining. (#selenium)
[2013-05-05 03:41:49] Mezmor, joining. (#selenium)
[2013-05-05 03:41:49] riotz, joining. (#selenium)
[2013-05-05 03:41:49] JackDandy, joining. (#selenium)
[2013-05-05 03:41:49] heath, joining. (#selenium)
