[2013-05-18 08:08:29] Dude-X__, quitting. (Client Quit)
[2013-05-18 08:09:26] girija, joining. (#selenium)
[2013-05-18 08:11:04] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-05-18 08:18:51] rananda, quitting. (Quit: Leaving)
[2013-05-18 08:25:41] phishy, joining. (#selenium)
[2013-05-18 08:25:41] phishy, quitting. (Max SendQ exceeded)
[2013-05-18 08:26:19] phishy, joining. (#selenium)
[2013-05-18 08:26:19] phishy, quitting. (Max SendQ exceeded)
[2013-05-18 08:26:58] phishy, joining. (#selenium)
[2013-05-18 08:29:26] phishy, quitting. (Client Quit)
[2013-05-18 08:32:17] admc1, joining. (#selenium)
[2013-05-18 08:34:21] Turzai2, joining. (#selenium)
[2013-05-18 08:35:56] Turzai, quitting. (Ping timeout: 256 seconds)
[2013-05-18 08:36:55] admc1, quitting. (Ping timeout: 260 seconds)
[2013-05-18 08:42:25] freynaud, quitting. (Ping timeout: 248 seconds)
[2013-05-18 08:43:41] tinygeo, joining. (#selenium)
[2013-05-18 08:47:24] Turzai2, quitting. (Ping timeout: 252 seconds)
[2013-05-18 08:48:40] tinygeo, quitting. (Quit: Leaving.)
[2013-05-18 08:49:27] FullTiltProspect, joining. (#selenium)
[2013-05-18 09:03:09] admc1, joining. (#selenium)
[2013-05-18 09:07:43] admc1, quitting. (Ping timeout: 264 seconds)
[2013-05-18 09:10:12] plightbo, joining. (#selenium)
[2013-05-18 09:14:27] plightbo, quitting. (Ping timeout: 256 seconds)
[2013-05-18 09:17:24] tinygeo, joining. (#selenium)
[2013-05-18 09:25:38] testingb0t, quitting. (Quit: Leaving.)
[2013-05-18 09:33:58] admc1, joining. (#selenium)
[2013-05-18 09:38:31] admc1, quitting. (Ping timeout: 260 seconds)
[2013-05-18 09:40:10] vila, joining. (#selenium)
[2013-05-18 09:42:42] girija, quitting. (Ping timeout: 264 seconds)
[2013-05-18 09:44:00] intchanter-work, quitting. (Quit: Leaving.)
[2013-05-18 09:53:22] SamuraiJack, quitting. (Remote host closed the connection)
[2013-05-18 10:00:15] vila, quitting. (Quit: Leaving)
[2013-05-18 10:02:21] tinygeo, quitting. (Quit: Leaving.)
[2013-05-18 10:04:51] admc1, joining. (#selenium)
[2013-05-18 10:09:31] admc1, quitting. (Ping timeout: 264 seconds)
[2013-05-18 10:10:21] plightbo, joining. (#selenium)
[2013-05-18 10:10:56] Wessix, joining. (#selenium)
[2013-05-18 10:10:58] girija, joining. (#selenium)
[2013-05-18 10:15:06] plightbo, quitting. (Ping timeout: 256 seconds)
[2013-05-18 10:19:56] stackedsax, quitting. (Quit: Leaving.)
[2013-05-18 10:23:19] stackedsax, joining. (#selenium)
[2013-05-18 10:24:45] girija, quitting. (Ping timeout: 252 seconds)
[2013-05-18 10:24:50] Selenium-Git, joining. (#selenium)
[2013-05-18 10:24:50] Selenium-Git: [13selenium] 15jayakumarc opened pull request #76: [Python] Adding string representations to Color (06master...06patch-16)  02http://git.io/RoFcuQ
[2013-05-18 10:24:50] Selenium-Git, leaving. (#selenium)
[2013-05-18 10:26:47] riv_, quitting. (Remote host closed the connection)
[2013-05-18 10:35:39] admc1, joining. (#selenium)
[2013-05-18 10:37:15] Wessix2, joining. (#selenium)
[2013-05-18 10:38:45] Wessix, quitting. (Ping timeout: 248 seconds)
[2013-05-18 10:40:07] admc1, quitting. (Ping timeout: 264 seconds)
[2013-05-18 10:41:23] tinygeo, joining. (#selenium)
[2013-05-18 10:41:25] Wessix2, quitting. (Ping timeout: 248 seconds)
[2013-05-18 10:47:09] tinygeo, quitting. (Ping timeout: 245 seconds)
[2013-05-18 10:48:40] admc1, joining. (#selenium)
[2013-05-18 10:49:25] tinygeo, joining. (#selenium)
[2013-05-18 10:51:10] yyoshi, joining. (#selenium)
[2013-05-18 11:10:07] omaciel, quitting. (Ping timeout: 264 seconds)
[2013-05-18 11:10:13] barancev: who commited R.java?
[2013-05-18 11:22:20] fatguylaughing, quitting. (Quit: fatguylaughing)
[2013-05-18 11:32:15] Keavon, joining. (#selenium)
[2013-05-18 11:33:12] alkemist, quitting. (Remote host closed the connection)
[2013-05-18 11:39:26] admc1, quitting. (Quit: Leaving.)
[2013-05-18 11:43:19] yyoshi, quitting. (Ping timeout: 250 seconds)
[2013-05-18 12:10:38] plightbo, joining. (#selenium)
[2013-05-18 12:15:13] plightbo, quitting. (Ping timeout: 256 seconds)
[2013-05-18 12:18:11] ShawnM, joining. (#selenium)
[2013-05-18 12:22:19] tinygeo, quitting. (Quit: Leaving.)
[2013-05-18 12:23:55] ShawnM, quitting. (Ping timeout: 264 seconds)
[2013-05-18 12:33:32] Ardesco_Home, quitting. (Remote host closed the connection)
[2013-05-18 12:52:45] tinygeo, joining. (#selenium)
[2013-05-18 12:57:39] Keavon, quitting. (Remote host closed the connection)
[2013-05-18 13:01:59] tinygeo, quitting. (Ping timeout: 260 seconds)
[2013-05-18 13:03:57] trcjr, quitting. (Ping timeout: 256 seconds)
[2013-05-18 13:05:59] trcjr, joining. (#selenium)
[2013-05-18 13:06:29] Wessix, joining. (#selenium)
[2013-05-18 13:10:48] plightbo, joining. (#selenium)
[2013-05-18 13:15:18] plightbo, quitting. (Ping timeout: 256 seconds)
[2013-05-18 13:49:09] Wessix, quitting. (Ping timeout: 248 seconds)
[2013-05-18 14:03:42] Swadq, joining. (#selenium)
[2013-05-18 14:09:30] tinygeo, joining. (#selenium)
[2013-05-18 15:11:06] plightbo, joining. (#selenium)
[2013-05-18 15:14:57] tinygeo, quitting. (Quit: Leaving.)
[2013-05-18 15:16:50] plightbo, quitting. (Ping timeout: 256 seconds)
[2013-05-18 15:34:16] Swadq, quitting. (Quit: Bai everyone)
[2013-05-18 15:34:34] jost, quitting. (Quit: jost)
[2013-05-18 15:39:08] admc1, joining. (#selenium)
[2013-05-18 15:45:20] tinygeo, joining. (#selenium)
[2013-05-18 15:49:59] tinygeo, quitting. (Ping timeout: 260 seconds)
[2013-05-18 16:11:15] plightbo, joining. (#selenium)
[2013-05-18 16:16:54] plightbo, quitting. (Ping timeout: 256 seconds)
[2013-05-18 16:23:28] admc1, quitting. (Quit: Leaving.)
[2013-05-18 16:24:56] Turzai, joining. (#selenium)
[2013-05-18 16:27:26] jibay, quitting. (Remote host closed the connection)
[2013-05-18 16:31:26] tinygeo, joining. (#selenium)
