[2015-08-01 14:01:48] ishana, joining. (#selenium)
[2015-08-01 14:04:22] ishana, quitting. (Remote host closed the connection)
[2015-08-01 14:05:17] ishana, joining. (#selenium)
[2015-08-01 14:10:56] ishana, quitting. (Remote host closed the connection)
[2015-08-01 14:18:24] selbot2_, joining. (#selenium)
[2015-08-01 14:18:24] selbot2_, joining. (#seleniumide)
[2015-08-01 14:21:49] AutomatedTester, quitting. (Ping timeout: 265 seconds)
[2015-08-01 14:26:41] sgsabbage, joining. (#selenium)
[2015-08-01 14:39:19] Selenium-Github: [13selenium] 15titusfortner pushed 2 new commits to 06master: 02http://git.io/vOGfs
[2015-08-01 14:39:19] Selenium-Github: 13selenium/06master 1459ff8af 15Titus Fortner: rb: Not needed with Ruby 1.9+
[2015-08-01 14:39:20] Selenium-Github: 13selenium/06master 141431a26 15Titus Fortner: rb: ensure bundler gem installed before running tests
[2015-08-01 15:02:57] ishana, joining. (#selenium)
[2015-08-01 15:19:29] sgsabbage, quitting. (Quit: Leaving...)
[2015-08-01 15:27:56] rorycb, joining. (#selenium)
[2015-08-01 15:28:03] tony2, joining. (#selenium)
[2015-08-01 15:29:25] oida, quitting. (Ping timeout: 256 seconds)
[2015-08-01 15:30:40] smccarthy, quitting. (Remote host closed the connection)
[2015-08-01 15:31:58] seljenkinsbot: Yippee, build fixed!
[2015-08-01 15:31:58] seljenkinsbot: Project IE 8 XP Java Tests build #3938: FIXED in 11 min: http://ci.seleniumhq.org:8080/job/IE%208%20XP%20Java%20Tests/3938/
[2015-08-01 15:32:18] oida, joining. (#selenium)
[2015-08-01 15:32:39] rorycb, quitting. (Ping timeout: 260 seconds)
[2015-08-01 15:47:22] selbot2_, joining. (#selenium)
[2015-08-01 15:47:22] selbot2_, joining. (#seleniumide)
[2015-08-01 16:02:38] tony2, quitting. (Quit: Leaving.)
[2015-08-01 16:02:56] tony2, joining. (#selenium)
[2015-08-01 16:14:11] tony2, quitting. (Quit: Leaving.)
[2015-08-01 16:19:31] sgsabbage, quitting. (Quit: Linkinus - http://linkinus.com)
[2015-08-01 16:23:28] lvanderpool, joining. (#selenium)
[2015-08-01 16:25:16] lvanderpool, changing nick to mekhami.
[2015-08-01 16:31:05] cylon512, joining. (#selenium)
[2015-08-01 16:54:52] selbot2_, joining. (#selenium)
[2015-08-01 16:54:52] selbot2_, joining. (#seleniumide)
[2015-08-01 17:51:35] cylon512, quitting. (Read error: Connection reset by peer)
[2015-08-01 17:51:54] cylon512, joining. (#selenium)
[2015-08-01 18:09:19] oida, quitting. (Ping timeout: 246 seconds)
[2015-08-01 18:12:56] oida, joining. (#selenium)
[2015-08-01 18:40:55] selbot2_, joining. (#selenium)
[2015-08-01 18:40:56] selbot2_, joining. (#seleniumide)
[2015-08-01 18:56:58] ishana, quitting. (Remote host closed the connection)
[2015-08-01 19:04:09] ishana, joining. (#selenium)
[2015-08-01 19:04:59] ishana, quitting. (Remote host closed the connection)
[2015-08-01 19:05:29] ishana, joining. (#selenium)
[2015-08-01 19:09:58] ishana, quitting. (Ping timeout: 246 seconds)
[2015-08-01 19:29:30] rorycb, joining. (#selenium)
[2015-08-01 19:34:45] rorycb, quitting. (Ping timeout: 244 seconds)
[2015-08-01 19:35:56] ishana, joining. (#selenium)
[2015-08-01 19:40:09] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 19:40:34] ishana, joining. (#selenium)
[2015-08-01 19:42:23] ishana_, joining. (#selenium)
[2015-08-01 19:42:34] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 19:43:49] ishana_, quitting. (Read error: Connection reset by peer)
[2015-08-01 19:44:10] ishana, joining. (#selenium)
[2015-08-01 19:45:59] ishana_, joining. (#selenium)
[2015-08-01 19:46:19] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 19:47:46] ishana, joining. (#selenium)
[2015-08-01 19:49:19] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 19:49:34] ishana, joining. (#selenium)
[2015-08-01 19:49:44] oida, quitting. (Ping timeout: 244 seconds)
[2015-08-01 19:51:08] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 19:51:09] ishana_, quitting. (Ping timeout: 264 seconds)
[2015-08-01 19:51:22] ishana, joining. (#selenium)
[2015-08-01 19:52:57] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 19:53:03] oida, joining. (#selenium)
[2015-08-01 19:53:11] ishana, joining. (#selenium)
[2015-08-01 19:54:34] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 19:54:58] ishana, joining. (#selenium)
[2015-08-01 19:56:46] ishana_, joining. (#selenium)
[2015-08-01 19:56:48] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 19:58:34] ishana, joining. (#selenium)
[2015-08-01 19:58:42] ishana_, quitting. (Read error: Connection reset by peer)
[2015-08-01 20:00:23] ishana_, joining. (#selenium)
[2015-08-01 20:00:30] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 20:02:03] ishana_, quitting. (Read error: Connection reset by peer)
[2015-08-01 20:02:10] ishana, joining. (#selenium)
[2015-08-01 20:03:38] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 20:03:59] ishana, joining. (#selenium)
[2015-08-01 20:05:48] ishana_, joining. (#selenium)
[2015-08-01 20:07:17] ishana_, quitting. (Read error: Connection reset by peer)
[2015-08-01 20:07:36] ishana_, joining. (#selenium)
[2015-08-01 20:08:06] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 20:09:53] ishana_, quitting. (Read error: Connection reset by peer)
[2015-08-01 20:10:16] ishana, joining. (#selenium)
[2015-08-01 20:12:00] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 20:12:04] ishana_, joining. (#selenium)
[2015-08-01 20:13:50] ishana, joining. (#selenium)
[2015-08-01 20:13:57] ishana_, quitting. (Read error: Connection reset by peer)
[2015-08-01 20:15:38] ishana_, joining. (#selenium)
[2015-08-01 20:15:57] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 20:17:05] ishana_, quitting. (Read error: Connection reset by peer)
[2015-08-01 20:17:26] ishana, joining. (#selenium)
[2015-08-01 20:18:49] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 20:19:13] ishana, joining. (#selenium)
[2015-08-01 20:20:35] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 20:21:00] ishana, joining. (#selenium)
[2015-08-01 20:22:34] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 20:22:46] ishana, joining. (#selenium)
[2015-08-01 20:23:11] dolu, joining. (#selenium)
[2015-08-01 20:24:19] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 20:24:34] ishana, joining. (#selenium)
[2015-08-01 20:26:13] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 20:26:21] ishana, joining. (#selenium)
[2015-08-01 20:26:34] dolu, quitting. (Client Quit)
[2015-08-01 20:28:08] ishana_, joining. (#selenium)
[2015-08-01 20:28:09] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 20:29:56] ishana, joining. (#selenium)
[2015-08-01 20:31:36] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 20:31:44] ishana, joining. (#selenium)
