[2013-12-15 02:51:31] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-15 02:51:54] DrJenkins, joining. (#selenium)
[2013-12-15 02:56:06] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-15 02:56:33] DrJenkins, joining. (#selenium)
[2013-12-15 03:00:53] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-15 03:01:13] DrJenkins, joining. (#selenium)
[2013-12-15 03:05:38] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-15 03:05:52] DrJenkins, joining. (#selenium)
[2013-12-15 03:09:22] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-15 03:10:30] DrJenkins, joining. (#selenium)
[2013-12-15 03:14:40] randyg, quitting. (Quit: randyg)
[2013-12-15 03:15:11] DrJenkin_, joining. (#selenium)
[2013-12-15 03:15:15] DrJenkins, quitting. (Ping timeout: 265 seconds)
[2013-12-15 03:19:49] DrJenkins, joining. (#selenium)
[2013-12-15 03:20:02] DrJenkin_, quitting. (Ping timeout: 264 seconds)
[2013-12-15 03:20:04] randyg, joining. (#selenium)
[2013-12-15 03:23:16] sebv, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2013-12-15 03:24:08] DrJenkins, quitting. (Read error: No buffer space available)
[2013-12-15 03:24:30] DrJenkins, joining. (#selenium)
[2013-12-15 03:29:10] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-15 03:29:13] DrJenkin_, joining. (#selenium)
[2013-12-15 03:31:15] randyg, quitting. (Quit: randyg)
[2013-12-15 03:31:37] randyg, joining. (#selenium)
[2013-12-15 03:33:42] DrJenkin_, quitting. (Ping timeout: 252 seconds)
[2013-12-15 03:33:49] DrJenkins, joining. (#selenium)
[2013-12-15 03:37:03] sebv, joining. (#selenium)
[2013-12-15 03:38:01] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 03:38:31] DrJenkins, joining. (#selenium)
[2013-12-15 03:42:38] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-15 03:43:10] DrJenkins, joining. (#selenium)
[2013-12-15 03:47:49] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-15 03:47:53] DrJenkin_, joining. (#selenium)
[2013-12-15 03:52:24] DrJenkin_, quitting. (Ping timeout: 252 seconds)
[2013-12-15 03:52:34] DrJenkins, joining. (#selenium)
[2013-12-15 03:56:57] randyg, quitting. (Quit: randyg)
[2013-12-15 03:57:08] DrJenkin_, joining. (#selenium)
[2013-12-15 03:57:14] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-15 04:00:03] DrJenkin_, quitting. (Read error: Operation timed out)
[2013-12-15 04:00:14] andy_seit, quitting. (Ping timeout: 264 seconds)
[2013-12-15 04:00:57] jaywink, joining. (#selenium)
[2013-12-15 04:01:49] DrJenkins, joining. (#selenium)
[2013-12-15 04:03:36] kedoodek, quitting. (Ping timeout: 245 seconds)
[2013-12-15 04:05:28] randyg, joining. (#selenium)
[2013-12-15 04:06:29] DrJenkins, quitting. (Ping timeout: 265 seconds)
[2013-12-15 04:06:37] DrJenkins, joining. (#selenium)
[2013-12-15 04:07:20] randyg, quitting. (Client Quit)
[2013-12-15 04:07:57] randyg, joining. (#selenium)
[2013-12-15 04:10:09] randyg, quitting. (Client Quit)
[2013-12-15 04:10:55] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 04:11:17] DrJenkins, joining. (#selenium)
[2013-12-15 04:15:41] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-15 04:16:02] DrJenkins, joining. (#selenium)
[2013-12-15 04:20:38] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-15 04:20:45] DrJenkins, joining. (#selenium)
[2013-12-15 04:24:15] jaywink, quitting. (Ping timeout: 264 seconds)
[2013-12-15 04:24:28] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-15 04:24:40] kedoodek, joining. (#selenium)
[2013-12-15 04:25:26] DrJenkins, joining. (#selenium)
[2013-12-15 04:29:17] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-15 04:30:07] DrJenkins, joining. (#selenium)
[2013-12-15 04:31:15] andy_seit, joining. (#selenium)
[2013-12-15 04:32:37] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-15 04:34:53] DrJenkins, joining. (#selenium)
[2013-12-15 04:35:46] markboxall, joining. (#selenium)
[2013-12-15 04:38:17] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-15 04:39:43] DrJenkins, joining. (#selenium)
[2013-12-15 04:40:15] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-12-15 04:42:21] kedoodek, quitting. (Ping timeout: 245 seconds)
[2013-12-15 04:44:21] DrJenkin_, joining. (#selenium)
[2013-12-15 04:44:38] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-15 04:45:51] andy_seit, quitting. (Ping timeout: 240 seconds)
[2013-12-15 04:46:26] andy_seit, joining. (#selenium)
[2013-12-15 04:46:59] jaywink, joining. (#selenium)
[2013-12-15 04:47:49] richdownie, joining. (#selenium)
[2013-12-15 04:48:48] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-15 04:49:02] DrJenkins, joining. (#selenium)
[2013-12-15 04:53:02] michael_lee, joining. (#selenium)
[2013-12-15 04:53:39] DrJenkin_, joining. (#selenium)
[2013-12-15 04:53:39] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 04:55:03] michael_lee, quitting. (Max SendQ exceeded)
[2013-12-15 04:57:46] DrJenkin_, quitting. (Ping timeout: 245 seconds)
[2013-12-15 04:58:22] DrJenkins, joining. (#selenium)
[2013-12-15 05:02:57] DrJenkin_, joining. (#selenium)
[2013-12-15 05:03:01] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-15 05:07:08] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-15 05:07:38] DrJenkins, joining. (#selenium)
[2013-12-15 05:08:10] kedoodek, joining. (#selenium)
[2013-12-15 05:08:11] jaywink, quitting. (Ping timeout: 240 seconds)
[2013-12-15 05:10:23] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-15 05:12:21] DrJenkins, joining. (#selenium)
[2013-12-15 05:16:39] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-15 05:16:57] DrJenkins, joining. (#selenium)
[2013-12-15 05:17:42] Eleccy, joining. (#selenium)
[2013-12-15 05:19:04] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-15 05:22:05] DrJenkins, joining. (#selenium)
[2013-12-15 05:26:15] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 05:26:43] DrJenkins, joining. (#selenium)
[2013-12-15 05:31:17] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-15 05:31:27] DrJenkins, joining. (#selenium)
[2013-12-15 05:35:50] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-15 05:36:12] DrJenkins, joining. (#selenium)
[2013-12-15 05:40:44] DrJenkins, quitting. (Ping timeout: 265 seconds)
[2013-12-15 05:40:57] DrJenkins, joining. (#selenium)
[2013-12-15 05:45:09] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-15 05:45:38] DrJenkins, joining. (#selenium)
[2013-12-15 05:48:02] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-15 05:50:18] DrJenkins, joining. (#selenium)
[2013-12-15 05:54:35] operatiay, joining. (#selenium)
[2013-12-15 05:54:50] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-15 05:55:00] DrJenkins, joining. (#selenium)
[2013-12-15 05:59:02] operatiay, quitting. (Ping timeout: 264 seconds)
[2013-12-15 05:59:27] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 05:59:41] DrJenkins, joining. (#selenium)
[2013-12-15 06:04:13] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 06:04:22] DrJenkins, joining. (#selenium)
[2013-12-15 06:08:48] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-15 06:09:01] DrJenkins, joining. (#selenium)
[2013-12-15 06:13:27] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 06:13:38] DrJenkins, joining. (#selenium)
