[2013-12-25 01:58:39] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 02:01:11] tony1, quitting. (Ping timeout: 272 seconds)
[2013-12-25 02:01:17] DrJenkin_, quitting. (Read error: Operation timed out)
[2013-12-25 02:02:59] DrJenkins, joining. (#selenium)
[2013-12-25 02:07:04] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-25 02:07:40] DrJenkins, joining. (#selenium)
[2013-12-25 02:11:56] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-25 02:12:21] DrJenkins, joining. (#selenium)
[2013-12-25 02:16:38] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-25 02:16:57] DrJenkins, joining. (#selenium)
[2013-12-25 02:21:13] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-25 02:21:38] DrJenkins, joining. (#selenium)
[2013-12-25 02:26:18] DrJenkin_, joining. (#selenium)
[2013-12-25 02:26:31] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 02:30:29] DrJenkin_, quitting. (Ping timeout: 248 seconds)
[2013-12-25 02:30:58] DrJenkins, joining. (#selenium)
[2013-12-25 02:35:43] DrJenkin_, joining. (#selenium)
[2013-12-25 02:35:53] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-25 02:40:18] DrJenkin_, quitting. (Ping timeout: 252 seconds)
[2013-12-25 02:40:19] DrJenkins, joining. (#selenium)
[2013-12-25 02:44:53] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 02:45:01] DrJenkins, joining. (#selenium)
[2013-12-25 02:49:19] DrJenkins, quitting. (Ping timeout: 241 seconds)
[2013-12-25 02:49:43] DrJenkins, joining. (#selenium)
[2013-12-25 02:53:59] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-25 02:54:17] DrJenkins, joining. (#selenium)
[2013-12-25 02:57:21] tony1, joining. (#selenium)
[2013-12-25 02:57:40] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-25 02:59:00] DrJenkins, joining. (#selenium)
[2013-12-25 03:00:30] ddary, joining. (#selenium)
[2013-12-25 03:02:15] tony1, quitting. (Ping timeout: 272 seconds)
[2013-12-25 03:03:33] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-25 03:03:38] DrJenkin_, joining. (#selenium)
[2013-12-25 03:03:55] ddary, quitting. (Client Quit)
[2013-12-25 03:04:10] ddary, joining. (#selenium)
[2013-12-25 03:08:20] DrJenkins, joining. (#selenium)
[2013-12-25 03:08:38] DrJenkin_, quitting. (Ping timeout: 264 seconds)
