[2013-12-28 02:55:58] DrJenkin_, quitting. (Ping timeout: 245 seconds)
[2013-12-28 02:56:25] DrJenkins, joining. (#selenium)
[2013-12-28 03:00:34] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 03:01:09] DrJenkins, joining. (#selenium)
[2013-12-28 03:05:44] DrJenkin_, joining. (#selenium)
[2013-12-28 03:06:02] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-28 03:10:08] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-28 03:10:29] DrJenkins, joining. (#selenium)
[2013-12-28 03:14:37] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-28 03:15:05] DrJenkins, joining. (#selenium)
[2013-12-28 03:19:29] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-28 03:19:47] DrJenkins, joining. (#selenium)
[2013-12-28 03:22:14] mdolinin, joining. (#selenium)
[2013-12-28 03:23:53] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-28 03:24:28] DrJenkins, joining. (#selenium)
[2013-12-28 03:27:11] mdolinin, quitting. (Ping timeout: 272 seconds)
[2013-12-28 03:28:48] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-28 03:29:07] DrJenkins, joining. (#selenium)
[2013-12-28 03:32:38] barancev|2, joining. (#selenium)
[2013-12-28 03:33:43] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 03:33:45] DrJenkin_, joining. (#selenium)
[2013-12-28 03:33:53] jaywink, joining. (#selenium)
[2013-12-28 03:35:50] barancev, quitting. (Ping timeout: 245 seconds)
[2013-12-28 03:36:40] barancev|2, quitting. (Ping timeout: 245 seconds)
[2013-12-28 03:38:04] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-28 03:38:28] DrJenkins, joining. (#selenium)
[2013-12-28 03:42:48] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-28 03:43:06] DrJenkins, joining. (#selenium)
[2013-12-28 03:47:28] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 03:47:43] DrJenkins, joining. (#selenium)
[2013-12-28 03:52:07] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-28 03:52:24] DrJenkins, joining. (#selenium)
[2013-12-28 03:55:56] jaywink, quitting. (Ping timeout: 246 seconds)
[2013-12-28 03:57:08] DrJenkin_, joining. (#selenium)
[2013-12-28 03:57:19] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-28 04:01:46] DrJenkins, joining. (#selenium)
[2013-12-28 04:01:50] DrJenkin_, quitting. (Ping timeout: 252 seconds)
[2013-12-28 04:06:23] DrJenkin_, joining. (#selenium)
[2013-12-28 04:06:50] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-28 04:10:38] DrJenkin_, quitting. (Ping timeout: 252 seconds)
[2013-12-28 04:11:05] DrJenkins, joining. (#selenium)
[2013-12-28 04:15:35] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-28 04:15:47] DrJenkins, joining. (#selenium)
[2013-12-28 04:20:04] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-28 04:20:28] DrJenkins, joining. (#selenium)
[2013-12-28 04:22:46] mdolinin, joining. (#selenium)
