[2013-12-26 00:01:17] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-26 00:01:48] DrJenkins, joining. (#selenium)
[2013-12-26 00:06:23] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-26 00:06:26] DrJenkin_, joining. (#selenium)
[2013-12-26 00:10:44] DrJenkin_, quitting. (Ping timeout: 246 seconds)
[2013-12-26 00:11:07] DrJenkins, joining. (#selenium)
[2013-12-26 00:15:04] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-26 00:15:57] alexglow, joining. (#selenium)
[2013-12-26 00:20:28] DrJenkins, joining. (#selenium)
[2013-12-26 00:24:39] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-26 00:25:08] DrJenkins, joining. (#selenium)
[2013-12-26 00:29:16] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-26 00:29:50] DrJenkins, joining. (#selenium)
[2013-12-26 00:34:30] DrJenkin_, joining. (#selenium)
[2013-12-26 00:34:53] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-26 00:39:10] DrJenkins, joining. (#selenium)
[2013-12-26 00:39:20] DrJenkin_, quitting. (Ping timeout: 272 seconds)
[2013-12-26 00:39:56] rananda, quitting. (Ping timeout: 260 seconds)
[2013-12-26 00:42:13] rananda, joining. (#selenium)
[2013-12-26 00:43:49] DrJenkin_, joining. (#selenium)
[2013-12-26 00:43:49] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-26 00:48:31] DrJenkins, joining. (#selenium)
[2013-12-26 00:48:49] DrJenkin_, quitting. (Ping timeout: 272 seconds)
[2013-12-26 00:49:23] michael_lee, quitting. (Read error: Connection reset by peer)
[2013-12-26 00:52:53] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-26 00:53:11] DrJenkins, joining. (#selenium)
[2013-12-26 00:58:30] DrJenkin_, joining. (#selenium)
[2013-12-26 00:58:31] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-26 01:01:59] DrJenkin_, quitting. (Ping timeout: 240 seconds)
[2013-12-26 01:02:28] DrJenkins, joining. (#selenium)
[2013-12-26 01:03:57] michael_lee, joining. (#selenium)
[2013-12-26 01:06:43] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-26 01:07:11] DrJenkins, joining. (#selenium)
[2013-12-26 01:11:49] DrJenkin_, joining. (#selenium)
[2013-12-26 01:11:59] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-26 01:16:26] DrJenkin_, quitting. (Ping timeout: 264 seconds)
[2013-12-26 01:16:30] DrJenkins, joining. (#selenium)
[2013-12-26 01:21:02] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-26 01:21:11] DrJenkins, joining. (#selenium)
[2013-12-26 01:25:25] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-26 01:25:51] DrJenkins, joining. (#selenium)
[2013-12-26 01:30:13] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-26 01:30:31] DrJenkins, joining. (#selenium)
[2013-12-26 01:35:01] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-26 01:40:16] DrJenkins, joining. (#selenium)
[2013-12-26 01:45:14] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-26 01:45:29] DrJenkins, joining. (#selenium)
[2013-12-26 01:49:41] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-26 01:50:03] DrJenkins, joining. (#selenium)
[2013-12-26 01:54:13] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-26 01:54:40] PavanGupta01, joining. (#selenium)
[2013-12-26 01:54:51] DrJenkins, joining. (#selenium)
[2013-12-26 01:59:01] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-26 01:59:34] DrJenkins, joining. (#selenium)
[2013-12-26 02:04:14] DrJenkin_, joining. (#selenium)
[2013-12-26 02:04:33] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-26 02:08:53] DrJenkins, joining. (#selenium)
[2013-12-26 02:08:59] DrJenkin_, quitting. (Ping timeout: 272 seconds)
[2013-12-26 02:13:33] DrJenkin_, joining. (#selenium)
[2013-12-26 02:13:41] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-26 02:18:12] DrJenkins, joining. (#selenium)
[2013-12-26 02:18:13] DrJenkin_, quitting. (Ping timeout: 248 seconds)
[2013-12-26 02:22:49] DrJenkin_, joining. (#selenium)
[2013-12-26 02:22:55] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-26 02:24:14] Brando753, quitting. (Ping timeout: 264 seconds)
[2013-12-26 02:26:17] Brando753, joining. (#selenium)
[2013-12-26 02:27:05] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-26 02:27:29] DrJenkins, joining. (#selenium)
[2013-12-26 02:30:20] Brando753, quitting. (Excess Flood)
[2013-12-26 02:30:47] Brando753, joining. (#selenium)
[2013-12-26 02:31:45] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-26 02:32:09] DrJenkins, joining. (#selenium)
[2013-12-26 02:34:15] PavanGupta01, quitting. (Ping timeout: 240 seconds)
[2013-12-26 02:36:21] Brando753, quitting. (Ping timeout: 248 seconds)
[2013-12-26 02:36:22] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-26 02:36:49] DrJenkins, joining. (#selenium)
[2013-12-26 02:41:18] Brando753, joining. (#selenium)
[2013-12-26 02:41:38] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-26 02:41:39] DrJenkin_, joining. (#selenium)
[2013-12-26 02:46:18] DrJenkins, joining. (#selenium)
[2013-12-26 02:46:24] DrJenkin_, quitting. (Ping timeout: 260 seconds)
[2013-12-26 02:50:35] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-26 02:51:01] DrJenkins, joining. (#selenium)
[2013-12-26 02:55:13] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-26 02:55:38] DrJenkins, joining. (#selenium)
[2013-12-26 02:59:46] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-26 03:04:56] DrJenkins, joining. (#selenium)
[2013-12-26 03:09:25] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-26 03:09:43] DrJenkins, joining. (#selenium)
[2013-12-26 03:14:23] DrJenkin_, joining. (#selenium)
[2013-12-26 03:14:38] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-26 03:15:19] alexglow, quitting. (Ping timeout: 248 seconds)
[2013-12-26 03:18:43] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-26 03:19:02] DrJenkins, joining. (#selenium)
[2013-12-26 03:23:42] DrJenkin_, joining. (#selenium)
[2013-12-26 03:23:43] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-26 03:27:41] DrJenkin_, quitting. (Read error: Operation timed out)
[2013-12-26 03:28:48] DrJenkins, joining. (#selenium)
[2013-12-26 03:32:41] barancev|2, joining. (#selenium)
[2013-12-26 03:33:24] DrJenkin_, joining. (#selenium)
[2013-12-26 03:33:29] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-26 03:35:00] barancev, quitting. (Ping timeout: 245 seconds)
[2013-12-26 03:37:41] DrJenkin_, quitting. (Ping timeout: 248 seconds)
[2013-12-26 03:38:06] DrJenkins, joining. (#selenium)
[2013-12-26 03:42:50] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-26 03:42:56] DrJenkin_, joining. (#selenium)
[2013-12-26 03:46:21] rananda, quitting. (Quit: /AWAY Leaving)
[2013-12-26 03:47:02] DrJenkin_, quitting. (Ping timeout: 240 seconds)
[2013-12-26 03:47:32] DrJenkins, joining. (#selenium)
[2013-12-26 03:52:09] DrJenkin_, joining. (#selenium)
[2013-12-26 03:52:13] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-26 03:55:24] jrgill, joining. (#selenium)
[2013-12-26 03:56:21] DrJenkin_, quitting. (Ping timeout: 248 seconds)
[2013-12-26 03:56:48] DrJenkins, joining. (#selenium)
[2013-12-26 03:58:06] tripples, joining. (#selenium)
[2013-12-26 03:59:58] tripples, quitting. (Read error: Connection reset by peer)
