[2013-12-14 00:00:16] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-14 00:00:44] DrJenkins, joining. (#selenium)
[2013-12-14 00:03:24] monokrome, quitting. (Ping timeout: 260 seconds)
[2013-12-14 00:04:18] zeljkof, joining. (#selenium)
[2013-12-14 00:05:18] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-14 00:05:26] DrJenkins, joining. (#selenium)
[2013-12-14 00:07:33] jaywink, quitting. (Ping timeout: 252 seconds)
[2013-12-14 00:09:50] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-14 00:10:04] DrJenkins, joining. (#selenium)
[2013-12-14 00:14:26] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-14 00:14:47] DrJenkins, joining. (#selenium)
[2013-12-14 00:16:19] AdamDangoor, joining. (#selenium)
[2013-12-14 00:16:29] Mkop, joining. (#selenium)
[2013-12-14 00:18:54] monokrome, joining. (#selenium)
[2013-12-14 00:19:06] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-14 00:19:28] DrJenkins, joining. (#selenium)
[2013-12-14 00:24:05] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-14 00:24:06] DrJenkin_, joining. (#selenium)
[2013-12-14 00:28:18] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-14 00:28:49] DrJenkins, joining. (#selenium)
[2013-12-14 00:31:26] janmalte, quitting. (Ping timeout: 240 seconds)
[2013-12-14 00:33:09] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-14 00:33:28] DrJenkins, joining. (#selenium)
[2013-12-14 00:35:50] admc, joining. (#selenium)
[2013-12-14 00:37:46] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-14 00:38:06] DrJenkins, joining. (#selenium)
[2013-12-14 00:40:16] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-14 00:42:47] DrJenkins, joining. (#selenium)
[2013-12-14 00:47:09] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-14 00:47:55] DrJenkins, joining. (#selenium)
[2013-12-14 00:52:21] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-14 00:52:37] DrJenkins, joining. (#selenium)
[2013-12-14 00:57:09] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-14 00:57:15] DrJenkins, joining. (#selenium)
[2013-12-14 01:01:26] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-14 01:01:58] DrJenkins, joining. (#selenium)
[2013-12-14 01:06:13] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-14 01:06:36] DrJenkins, joining. (#selenium)
[2013-12-14 01:11:06] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-14 01:11:16] DrJenkins, joining. (#selenium)
[2013-12-14 01:14:33] zeljkof, quitting. (Remote host closed the connection)
[2013-12-14 01:14:56] zeljkof, joining. (#selenium)
[2013-12-14 01:15:49] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-14 01:16:00] DrJenkins, joining. (#selenium)
[2013-12-14 01:20:25] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-14 01:20:42] DrJenkins, joining. (#selenium)
[2013-12-14 01:22:30] markboxall, joining. (#selenium)
[2013-12-14 01:25:02] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-14 01:25:23] DrJenkins, joining. (#selenium)
[2013-12-14 01:26:45] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-12-14 01:29:41] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-14 01:30:05] DrJenkins, joining. (#selenium)
[2013-12-14 01:34:14] DrJenkins, quitting. (Ping timeout: 240 seconds)
