[2013-12-22 00:02:34] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-22 00:02:54] DrJenkins, joining. (#selenium)
[2013-12-22 00:07:06] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-22 00:07:33] DrJenkins, joining. (#selenium)
[2013-12-22 00:11:46] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-22 00:12:14] DrJenkins, joining. (#selenium)
[2013-12-22 00:16:43] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-22 00:16:53] DrJenkins, joining. (#selenium)
[2013-12-22 00:21:25] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-22 00:21:31] DrJenkins, joining. (#selenium)
[2013-12-22 00:25:41] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-22 00:26:16] DrJenkins, joining. (#selenium)
[2013-12-22 00:30:22] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-22 00:30:53] DrJenkins, joining. (#selenium)
[2013-12-22 00:31:18] tony1, joining. (#selenium)
[2013-12-22 00:35:16] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-22 00:35:31] DrJenkins, joining. (#selenium)
[2013-12-22 00:36:14] tony1, quitting. (Ping timeout: 264 seconds)
[2013-12-22 00:40:05] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-22 00:40:13] DrJenkins, joining. (#selenium)
[2013-12-22 00:41:03] SamuraiJack, joining. (#selenium)
[2013-12-22 00:44:50] DrJenkin_, joining. (#selenium)
[2013-12-22 00:44:59] DrJenkins, quitting. (Ping timeout: 260 seconds)
[2013-12-22 00:49:26] DrJenkin_, quitting. (Ping timeout: 264 seconds)
[2013-12-22 00:49:33] DrJenkins, joining. (#selenium)
[2013-12-22 00:53:46] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-22 00:54:13] DrJenkins, joining. (#selenium)
[2013-12-22 00:58:24] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-22 00:58:54] DrJenkins, joining. (#selenium)
[2013-12-22 01:03:30] DrJenkin_, joining. (#selenium)
[2013-12-22 01:03:35] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-22 01:06:59] markboxall, joining. (#selenium)
[2013-12-22 01:07:49] DrJenkin_, quitting. (Ping timeout: 246 seconds)
[2013-12-22 01:08:10] DrJenkins, joining. (#selenium)
[2013-12-22 01:11:20] markboxall, quitting. (Ping timeout: 246 seconds)
[2013-12-22 01:11:29] AdamDangoor, joining. (#selenium)
[2013-12-22 01:12:23] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-22 01:12:53] DrJenkins, joining. (#selenium)
[2013-12-22 01:16:15] AdamDangoor, quitting. (Ping timeout: 252 seconds)
[2013-12-22 01:17:25] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-22 01:17:33] DrJenkins, joining. (#selenium)
[2013-12-22 01:17:36] AdamDangoor, joining. (#selenium)
[2013-12-22 01:21:08] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-22 01:21:46] AdamDangoor, quitting. (Ping timeout: 252 seconds)
[2013-12-22 01:22:13] DrJenkins, joining. (#selenium)
[2013-12-22 01:26:50] DrJenkin_, joining. (#selenium)
[2013-12-22 01:27:05] jaywink, joining. (#selenium)
[2013-12-22 01:27:18] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-22 01:31:11] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-22 01:31:35] DrJenkins, joining. (#selenium)
[2013-12-22 01:32:01] tony1, joining. (#selenium)
[2013-12-22 01:34:35] andy_seit, joining. (#selenium)
[2013-12-22 01:35:59] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-22 01:36:15] tony1, quitting. (Ping timeout: 240 seconds)
[2013-12-22 01:36:16] DrJenkins, joining. (#selenium)
[2013-12-22 01:40:44] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-22 01:40:55] DrJenkins, joining. (#selenium)
[2013-12-22 01:45:09] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-22 01:45:31] DrJenkins, joining. (#selenium)
[2013-12-22 01:49:47] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-22 01:50:15] DrJenkins, joining. (#selenium)
[2013-12-22 01:54:46] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-22 01:54:50] DrJenkin_, joining. (#selenium)
[2013-12-22 01:59:11] DrJenkin_, quitting. (Ping timeout: 260 seconds)
[2013-12-22 01:59:32] DrJenkins, joining. (#selenium)
[2013-12-22 02:03:48] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-22 02:04:12] DrJenkins, joining. (#selenium)
[2013-12-22 02:07:51] kedoodek, quitting. (Ping timeout: 240 seconds)
[2013-12-22 02:08:39] DrJenkins, quitting. (Ping timeout: 250 seconds)
[2013-12-22 02:08:55] DrJenkins, joining. (#selenium)
[2013-12-22 02:13:26] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-22 02:13:33] DrJenkin_, joining. (#selenium)
[2013-12-22 02:17:52] DrJenkin_, quitting. (Ping timeout: 252 seconds)
[2013-12-22 02:18:09] DrJenkins, joining. (#selenium)
[2013-12-22 02:20:15] kedoodek, joining. (#selenium)
[2013-12-22 02:22:45] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-22 02:22:52] DrJenkin_, joining. (#selenium)
[2013-12-22 02:27:32] DrJenkins, joining. (#selenium)
[2013-12-22 02:27:40] DrJenkin_, quitting. (Ping timeout: 260 seconds)
[2013-12-22 02:31:48] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-22 02:32:12] DrJenkins, joining. (#selenium)
[2013-12-22 02:32:35] diancho, joining. (#selenium)
[2013-12-22 02:33:04] diancho, quitting. (Client Quit)
[2013-12-22 02:33:08] tony1, joining. (#selenium)
[2013-12-22 02:33:33] dian, joining. (#selenium)
[2013-12-22 02:34:15] dian, quitting. (Client Quit)
[2013-12-22 02:35:03] diancho, joining. (#selenium)
[2013-12-22 02:35:31] diancho, quitting. (Client Quit)
[2013-12-22 02:36:36] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-22 02:36:48] DrJenkins, joining. (#selenium)
[2013-12-22 02:37:00] diancho, joining. (#selenium)
[2013-12-22 02:37:12] diancho, quitting. (Client Quit)
[2013-12-22 02:37:26] tony1, quitting. (Ping timeout: 240 seconds)
[2013-12-22 02:41:23] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-22 02:41:31] DrJenkins, joining. (#selenium)
[2013-12-22 02:41:47] alexglow, joining. (#selenium)
[2013-12-22 02:45:42] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-22 02:46:08] DrJenkins, joining. (#selenium)
[2013-12-22 02:50:34] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-22 02:50:51] DrJenkins, joining. (#selenium)
[2013-12-22 02:51:53] jaywink, quitting. (Ping timeout: 272 seconds)
[2013-12-22 02:55:26] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-22 02:55:31] DrJenkin_, joining. (#selenium)
[2013-12-22 02:55:53] markboxall, joining. (#selenium)
[2013-12-22 02:57:51] SamuraiJack, quitting. (Ping timeout: 272 seconds)
[2013-12-22 02:58:27] andy_seit, quitting. (Ping timeout: 264 seconds)
[2013-12-22 02:59:50] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-22 03:00:08] DrJenkins, joining. (#selenium)
[2013-12-22 03:00:10] markboxall, quitting. (Ping timeout: 246 seconds)
[2013-12-22 03:04:15] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-22 03:04:47] DrJenkins, joining. (#selenium)
[2013-12-22 03:08:50] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-22 03:09:28] DrJenkins, joining. (#selenium)
[2013-12-22 03:13:38] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-22 03:14:07] DrJenkins, joining. (#selenium)
[2013-12-22 03:18:48] DrJenkin_, joining. (#selenium)
[2013-12-22 03:18:50] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-22 03:21:18] alexglow, quitting. (Ping timeout: 272 seconds)
[2013-12-22 03:23:32] DrJenkins, joining. (#selenium)
[2013-12-22 03:23:49] DrJenkin_, quitting. (Ping timeout: 272 seconds)
[2013-12-22 03:24:21] andy_seit, joining. (#selenium)
[2013-12-22 03:27:51] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-22 03:28:05] DrJenkins, joining. (#selenium)
[2013-12-22 03:32:11] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-22 03:32:48] DrJenkins, joining. (#selenium)
[2013-12-22 03:33:35] tony1, joining. (#selenium)
[2013-12-22 03:37:02] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-22 03:37:27] DrJenkins, joining. (#selenium)
[2013-12-22 03:38:02] tony1, quitting. (Ping timeout: 264 seconds)
[2013-12-22 03:42:07] DrJenkin_, joining. (#selenium)
[2013-12-22 03:42:33] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-22 03:46:45] DrJenkins, joining. (#selenium)
[2013-12-22 03:46:59] DrJenkin_, quitting. (Ping timeout: 272 seconds)
[2013-12-22 03:51:01] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-22 03:51:24] DrJenkins, joining. (#selenium)
[2013-12-22 03:56:04] DrJenkin_, joining. (#selenium)
[2013-12-22 03:56:29] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-22 04:00:47] DrJenkins, joining. (#selenium)
[2013-12-22 04:00:51] jds: Is it possible to persuade Chrome not to bring the window to the front when an alert pops up?
[2013-12-22 04:00:55] DrJenkin_, quitting. (Ping timeout: 272 seconds)
