[2013-06-30 11:02:54] jimpurbrick1, joining. (#selenium)
[2013-06-30 11:04:19] jimpurbrick, quitting. (Ping timeout: 256 seconds)
[2013-06-30 11:05:18] JCrown, joining. (#selenium)
[2013-06-30 11:05:37] DanielSi, joining. (#selenium)
[2013-06-30 11:05:41] DanielSi, quitting. (Client Quit)
[2013-06-30 11:06:54] jimpurbrick1, quitting. (Read error: Connection reset by peer)
[2013-06-30 11:07:14] jimpurbrick, joining. (#selenium)
[2013-06-30 11:07:41] JCrown, quitting. (Client Quit)
[2013-06-30 11:16:59] ShawnM, joining. (#selenium)
[2013-06-30 11:17:00] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-06-30 11:17:05] barancev, joining. (#selenium)
[2013-06-30 11:20:52] davidlai, quitting. (Quit: Leaving.)
[2013-06-30 11:24:39] gittish, joining. (#selenium)
[2013-06-30 11:24:47] p0deje, joining. (#selenium)
[2013-06-30 11:25:05] p0deje, quitting. (Client Quit)
[2013-06-30 11:32:39] detronizator, quitting. (Ping timeout: 256 seconds)
[2013-06-30 11:33:55] asavchuk, quitting. (Quit: bye everyone)
[2013-06-30 11:33:57] detronizator, joining. (#selenium)
[2013-06-30 11:35:15] markalanevans, joining. (#selenium)
[2013-06-30 11:39:46] smccarthy, quitting. (Remote host closed the connection)
[2013-06-30 11:39:52] o3u, joining. (#selenium)
[2013-06-30 11:43:29] ShawnM, quitting. (Remote host closed the connection)
[2013-06-30 11:52:05] noahsussman, joining. (#selenium)
[2013-06-30 11:54:03] capri, quitting. (Ping timeout: 264 seconds)
[2013-06-30 11:57:03] o3u, quitting. (Ping timeout: 264 seconds)
[2013-06-30 11:57:15] capri, joining. (#selenium)
[2013-06-30 11:57:38] rickdarcy, quitting. (Ping timeout: 268 seconds)
[2013-06-30 11:57:56] gittish, quitting. (Quit: gittish)
[2013-06-30 12:00:10] davidlai, joining. (#selenium)
[2013-06-30 12:00:20] noahsussman, quitting. (Ping timeout: 252 seconds)
[2013-06-30 12:03:12] ShawnM, joining. (#selenium)
[2013-06-30 12:09:41] silne30, joining. (#selenium)
[2013-06-30 12:12:24] Goranek_: hi guys, i need help with specifing firefox profile with standalone java selenium server
[2013-06-30 12:12:37] Goranek_: can someone help me please? i spend last 10 hours trying to fix this..
[2013-06-30 12:13:44] ShawnM, quitting. (Remote host closed the connection)
[2013-06-30 12:17:40] sr78ger, quitting. (Quit: Textual IRC Client: www.textualapp.com)
[2013-06-30 12:24:57] jimpurbrick1, joining. (#selenium)
[2013-06-30 12:25:41] Goranek_: :(
[2013-06-30 12:26:20] jimpurbrick, quitting. (Ping timeout: 260 seconds)
[2013-06-30 12:28:55] gittish, joining. (#selenium)
[2013-06-30 12:31:01] gittish, quitting. (Client Quit)
[2013-06-30 12:31:52] ShawnM, joining. (#selenium)
[2013-06-30 12:33:29] pa, quitting. (Ping timeout: 248 seconds)
[2013-06-30 12:34:21] o3u, joining. (#selenium)
