[2013-06-08 10:55:53] Turzai, joining. (#selenium)
[2013-06-08 11:07:53] fatguylaughing, quitting. (Quit: fatguylaughing)
[2013-06-08 11:08:44] p0deje, quitting. (Quit: p0deje)
[2013-06-08 11:36:52] kurtsbees, quitting. (Ping timeout: 256 seconds)
[2013-06-08 11:41:01] ShawnM, quitting. (Remote host closed the connection)
[2013-06-08 11:42:43] Turzai, quitting. (Ping timeout: 242 seconds)
[2013-06-08 11:42:59] o3u, quitting. (Ping timeout: 246 seconds)
[2013-06-08 11:43:33] ShawnM, joining. (#selenium)
[2013-06-08 11:43:44] ShawnM, quitting. (Read error: Connection reset by peer)
[2013-06-08 12:00:25] stackedsax, quitting. (Quit: Leaving.)
[2013-06-08 12:07:44] manoj9788, quitting. (Quit: manoj9788)
[2013-06-08 12:44:48] smccarthy, quitting. (Remote host closed the connection)
[2013-06-08 12:49:19] admc, quitting. (Quit: Leaving.)
[2013-06-08 12:56:19] PierreW_, joining. (#selenium)
[2013-06-08 12:57:48] PierreW, quitting. (Read error: Connection reset by peer)
[2013-06-08 12:59:11] llaskin1, joining. (#selenium)
[2013-06-08 13:01:10] selbot2____, joining. (#selenium)
[2013-06-08 13:02:35] llaskin, quitting. (Ping timeout: 267 seconds)
[2013-06-08 13:06:16] ThePeach_, joining. (#selenium)
[2013-06-08 13:07:59] jualam, quitting. (Ping timeout: 246 seconds)
[2013-06-08 13:07:59] selbot2___, quitting. (Ping timeout: 246 seconds)
[2013-06-08 13:07:59] sejo, quitting. (Ping timeout: 246 seconds)
[2013-06-08 13:08:50] ThePeach, quitting. (Write error: Broken pipe)
[2013-06-08 13:09:44] sejo, joining. (#selenium)
[2013-06-08 13:10:01] nirvdrum, quitting. (Ping timeout: 252 seconds)
[2013-06-08 13:11:10] jualam, joining. (#selenium)
[2013-06-08 13:11:47] ShawnM, joining. (#selenium)
[2013-06-08 13:12:04] jibay, quitting. (Ping timeout: 269 seconds)
[2013-06-08 13:12:08] eanxgeek, quitting. (Ping timeout: 269 seconds)
[2013-06-08 13:12:38] eanxgeek, joining. (#selenium)
[2013-06-08 13:14:47] jibay, joining. (#selenium)
[2013-06-08 13:15:30] Todd, quitting. (Ping timeout: 248 seconds)
[2013-06-08 13:17:27] Todd, joining. (#selenium)
[2013-06-08 13:19:38] admc, joining. (#selenium)
[2013-06-08 13:21:25] djinni, quitting. (Ping timeout: 256 seconds)
[2013-06-08 13:21:25] ShawnM, quitting. (Ping timeout: 256 seconds)
[2013-06-08 13:23:50] djinni, joining. (#selenium)
[2013-06-08 13:25:08] stackedsax1, joining. (#selenium)
[2013-06-08 13:28:04] admc, quitting. (Ping timeout: 245 seconds)
[2013-06-08 13:29:12] JackDandy, quitting. (*.net *.split)
[2013-06-08 13:32:34] JackDandy, joining. (#selenium)
[2013-06-08 13:33:08] ryanpetrello, joining. (#selenium)
[2013-06-08 13:38:06] stackedsax1, quitting. (Quit: Leaving.)
[2013-06-08 13:41:57] ShawnM, joining. (#selenium)
[2013-06-08 13:44:16] lukeis, joining. (#selenium)
[2013-06-08 13:55:11] admc, joining. (#selenium)
[2013-06-08 13:55:58] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-08 13:58:19] ryanpetrello, joining. (#selenium)
[2013-06-08 13:59:16] testingb0t1, quitting. (Quit: Leaving.)
[2013-06-08 13:59:57] admc, quitting. (Ping timeout: 256 seconds)
[2013-06-08 14:01:51] foundatron, quitting. (Remote host closed the connection)
[2013-06-08 14:02:13] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-08 14:03:10] ryanpetrello, joining. (#selenium)
[2013-06-08 14:03:30] dimacus, joining. (#selenium)
[2013-06-08 14:07:10] dimacus, quitting. (Client Quit)
[2013-06-08 14:51:25] Oscar, joining. (#selenium)
[2013-06-08 14:53:53] Oscar1, joining. (#selenium)
[2013-06-08 14:53:53] Oscar, quitting. (Read error: Connection reset by peer)
[2013-06-08 14:55:44] admc, joining. (#selenium)
[2013-06-08 14:57:39] Oscar, joining. (#selenium)
[2013-06-08 14:57:39] Oscar1, quitting. (Read error: Connection reset by peer)
[2013-06-08 14:59:31] foundatron, joining. (#selenium)
[2013-06-08 14:59:31] foundatron, quitting. (Changing host)
[2013-06-08 14:59:31] foundatron, joining. (#selenium)
[2013-06-08 14:59:54] admc, quitting. (Ping timeout: 240 seconds)
[2013-06-08 15:05:15] Oscar1, joining. (#selenium)
[2013-06-08 15:05:16] Oscar, quitting. (Read error: Connection reset by peer)
[2013-06-08 15:05:52] Oscar1, quitting. (Read error: Connection reset by peer)
[2013-06-08 15:05:59] Oscar, joining. (#selenium)
[2013-06-08 15:08:13] Oscar, quitting. (Client Quit)
[2013-06-08 15:18:28] riv, joining. (#selenium)
[2013-06-08 15:18:35] lukeis, quitting. (Quit: Leaving.)
[2013-06-08 15:22:44] elopio, quitting. (Ping timeout: 264 seconds)
[2013-06-08 15:32:46] elopio, joining. (#selenium)
[2013-06-08 15:34:41] foundatron, quitting. (Ping timeout: 276 seconds)
[2013-06-08 15:56:14] admc, joining. (#selenium)
[2013-06-08 15:59:21] riv, quitting. (Remote host closed the connection)
[2013-06-08 16:00:34] admc, quitting. (Ping timeout: 245 seconds)
[2013-06-08 16:26:39] admc, joining. (#selenium)
[2013-06-08 16:27:31] ShawnM, quitting. (Remote host closed the connection)
[2013-06-08 16:31:14] admc, quitting. (Ping timeout: 248 seconds)
[2013-06-08 16:46:34] jibay, quitting. (Remote host closed the connection)
[2013-06-08 17:27:09] admc, joining. (#selenium)
[2013-06-08 17:31:30] admc, quitting. (Ping timeout: 248 seconds)
[2013-06-08 17:44:07] freynaud, leaving. (#selenium)
[2013-06-08 17:57:32] admc, joining. (#selenium)
[2013-06-08 18:02:03] admc, quitting. (Ping timeout: 255 seconds)
[2013-06-08 18:13:35] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-08 18:25:57] farlan, joining. (#selenium)
[2013-06-08 18:30:37] ShawnM, joining. (#selenium)
[2013-06-08 18:30:54] ShawnM, quitting. (Remote host closed the connection)
