[2013-06-02 09:47:48] elopio, joining. (#selenium)
[2013-06-02 10:04:45] ShawnM, joining. (#selenium)
[2013-06-02 10:27:27] admc, joining. (#selenium)
[2013-06-02 10:28:24] sourishkrout, joining. (#selenium)
[2013-06-02 10:29:18] sourishkrout, quitting. (Client Quit)
[2013-06-02 10:34:38] admc, quitting. (Read error: Connection reset by peer)
[2013-06-02 10:34:45] admc1, joining. (#selenium)
[2013-06-02 10:40:25] p0deje, joining. (#selenium)
[2013-06-02 10:47:34] smccarthy, quitting. (Ping timeout: 276 seconds)
[2013-06-02 10:47:41] riv_, quitting. (Remote host closed the connection)
[2013-06-02 10:51:37] smccarthy, joining. (#selenium)
[2013-06-02 10:52:24] smccarthy, quitting. (Read error: Connection reset by peer)
[2013-06-02 10:53:03] smccarthy, joining. (#selenium)
[2013-06-02 10:54:30] smccarthy, quitting. (Read error: Connection reset by peer)
[2013-06-02 10:59:08] riv_, joining. (#selenium)
[2013-06-02 11:04:38] stephend, joining. (#selenium)
[2013-06-02 11:05:59] admc, joining. (#selenium)
[2013-06-02 11:07:07] admc1, quitting. (Ping timeout: 264 seconds)
[2013-06-02 11:07:42] Turzai, quitting. (Ping timeout: 256 seconds)
[2013-06-02 11:10:18] phishy, joining. (#selenium)
[2013-06-02 11:14:53] barancev, joining. (#selenium)
[2013-06-02 11:15:58] riv_, quitting. (Remote host closed the connection)
[2013-06-02 11:19:22] h8R, joining. (#selenium)
[2013-06-02 11:21:48] zac_sel, joining. (#selenium)
[2013-06-02 11:23:03] riv_, joining. (#selenium)
[2013-06-02 11:32:26] jacksoncage, joining. (#selenium)
[2013-06-02 11:48:48] awilson820, joining. (#selenium)
[2013-06-02 11:55:02] h8R, quitting. (Ping timeout: 256 seconds)
[2013-06-02 11:58:29] phishy, quitting. (Remote host closed the connection)
[2013-06-02 11:59:44] h8R, joining. (#selenium)
[2013-06-02 11:59:45] phishy, joining. (#selenium)
[2013-06-02 12:04:16] Dude-X, quitting. (Quit: Dude-X)
[2013-06-02 12:06:15] ShawnM, quitting. (Remote host closed the connection)
[2013-06-02 12:10:08] ShawnM, joining. (#selenium)
[2013-06-02 12:10:10] h8R, quitting. (Ping timeout: 246 seconds)
[2013-06-02 12:13:28] h8R, joining. (#selenium)
[2013-06-02 12:15:20] ShawnM, quitting. (Remote host closed the connection)
[2013-06-02 12:16:49] p0deje, quitting. (Quit: p0deje)
[2013-06-02 12:18:52] kallisti, joining. (#selenium)
[2013-06-02 12:18:52] kallisti, quitting. (Changing host)
[2013-06-02 12:18:52] kallisti, joining. (#selenium)
[2013-06-02 12:24:23] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-06-02 12:55:52] AutomatedTester: jarib: hey, was that that json prettifier gem you told me about once?
[2013-06-02 12:57:35] stephend_, joining. (#selenium)
[2013-06-02 12:57:43] AutomatedTester: nevermind :)
[2013-06-02 13:01:07] stephend, quitting. (Ping timeout: 264 seconds)
[2013-06-02 13:02:10] riv_, quitting. (Remote host closed the connection)
[2013-06-02 13:13:49] riv_, joining. (#selenium)
[2013-06-02 13:15:58] admc, quitting. (Quit: Leaving.)
[2013-06-02 13:19:54] jacksoncage, quitting. (Quit: Computer has gone to sleep.)
[2013-06-02 13:21:51] awilson820, quitting. (Quit: Leaving.)
[2013-06-02 13:22:04] gates, joining. (#selenium)
[2013-06-02 13:35:25] alkemist, quitting. (Remote host closed the connection)
[2013-06-02 13:37:56] jost, quitting. (Quit: jost)
