[2013-06-23 05:51:03] admc, joining. (#selenium)
[2013-06-23 05:58:20] richdownie, joining. (#selenium)
[2013-06-23 05:59:08] riotz, quitting. (Remote host closed the connection)
[2013-06-23 06:00:37] riotz, joining. (#selenium)
[2013-06-23 06:09:53] richdownie, quitting. (Quit: richdownie)
[2013-06-23 06:12:54] ryanpetrello, joining. (#selenium)
[2013-06-23 06:16:29] Turzai, joining. (#selenium)
[2013-06-23 06:16:40] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-23 06:18:13] LennyLinux, joining. (#selenium)
[2013-06-23 06:21:43] plightbo_work, joining. (#selenium)
[2013-06-23 06:22:20] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 06:22:22] plightb__, joining. (#selenium)
[2013-06-23 06:23:03] plightbo_work, joining. (#selenium)
[2013-06-23 06:23:03] plightb__, quitting. (Read error: Connection reset by peer)
[2013-06-23 06:23:33] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 06:23:43] plightbo_work, joining. (#selenium)
[2013-06-23 06:24:33] plightb__, joining. (#selenium)
[2013-06-23 06:24:58] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 06:25:00] plightb__, quitting. (Read error: Connection reset by peer)
[2013-06-23 06:25:07] tobie, quitting. (Quit: tobie)
[2013-06-23 06:25:13] plightbo_work, joining. (#selenium)
[2013-06-23 06:25:40] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 06:25:53] plightbo_work, joining. (#selenium)
[2013-06-23 06:26:33] plightb__, joining. (#selenium)
[2013-06-23 06:26:33] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 06:27:04] plightbo_work, joining. (#selenium)
[2013-06-23 06:27:04] plightb__, quitting. (Read error: Connection reset by peer)
[2013-06-23 06:27:45] plightb__, joining. (#selenium)
[2013-06-23 06:27:45] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 06:28:51] plightbo_work, joining. (#selenium)
[2013-06-23 06:29:08] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 06:29:08] plightb__, quitting. (Read error: Connection reset by peer)
[2013-06-23 06:29:17] plightbo_work, joining. (#selenium)
[2013-06-23 06:29:31] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 06:29:43] plightbo_work, joining. (#selenium)
[2013-06-23 06:30:00] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 06:30:07] tobie, joining. (#selenium)
[2013-06-23 06:30:09] plightbo_work, joining. (#selenium)
[2013-06-23 06:30:23] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 06:30:35] plightbo_work, joining. (#selenium)
[2013-06-23 06:34:59] plightbo_work, quitting. (Ping timeout: 255 seconds)
[2013-06-23 06:36:04] tobie, quitting. (Quit: tobie)
[2013-06-23 06:36:38] richdownie, joining. (#selenium)
[2013-06-23 06:40:53] richdownie, quitting. (Client Quit)
[2013-06-23 06:41:18] richdownie, joining. (#selenium)
[2013-06-23 06:44:08] richdownie, quitting. (Client Quit)
[2013-06-23 06:46:48] admc, quitting. (Quit: Leaving.)
[2013-06-23 06:49:33] richdownie, joining. (#selenium)
[2013-06-23 06:51:11] richdownie, quitting. (Client Quit)
[2013-06-23 06:53:00] phishy, joining. (#selenium)
[2013-06-23 06:57:10] phishy, quitting. (Client Quit)
[2013-06-23 07:16:13] Turzai, quitting. (Ping timeout: 264 seconds)
[2013-06-23 07:24:20] Turzai, joining. (#selenium)
[2013-06-23 07:30:49] plightbo_work, joining. (#selenium)
[2013-06-23 07:31:32] plightb__, joining. (#selenium)
[2013-06-23 07:31:32] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 07:35:51] plightb__, quitting. (Ping timeout: 248 seconds)
[2013-06-23 07:38:13] nari_, joining. (#selenium)
[2013-06-23 07:55:56] phishy, joining. (#selenium)
[2013-06-23 07:55:57] phishy, quitting. (Max SendQ exceeded)
[2013-06-23 07:56:32] phishy, joining. (#selenium)
[2013-06-23 07:59:08] nari_, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:04:43] Wessix, quitting. (Ping timeout: 248 seconds)
[2013-06-23 08:12:33] Oscar, joining. (#selenium)
[2013-06-23 08:16:55] rickdarcy, joining. (#selenium)
[2013-06-23 08:18:07] Oscar, changing nick to Oscar_Rieken.
[2013-06-23 08:20:36] smccarthy, joining. (#selenium)
[2013-06-23 08:22:36] Wessix, joining. (#selenium)
[2013-06-23 08:24:53] jsflax, joining. (#selenium)
[2013-06-23 08:25:09] jsflax, changing nick to pathfinder.
[2013-06-23 08:25:47] pathfinder: are people talking?
[2013-06-23 08:32:04] plightbo_work, joining. (#selenium)
[2013-06-23 08:32:47] plightb__, joining. (#selenium)
[2013-06-23 08:32:47] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:34:04] plightbo_work, joining. (#selenium)
[2013-06-23 08:34:04] plightb__, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:34:26] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:34:44] plightbo_work, joining. (#selenium)
[2013-06-23 08:34:44] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-06-23 08:35:12] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:35:16] plightb__, joining. (#selenium)
[2013-06-23 08:35:56] plightbo_work, joining. (#selenium)
[2013-06-23 08:35:56] plightb__, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:36:44] plightb__, joining. (#selenium)
[2013-06-23 08:36:44] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:37:16] plightbo_work, joining. (#selenium)
[2013-06-23 08:37:16] plightb__, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:37:27] pathfinder, changing nick to cpt_jack.
[2013-06-23 08:37:51] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:37:57] plightb__, joining. (#selenium)
[2013-06-23 08:38:44] plightbo_work, joining. (#selenium)
[2013-06-23 08:38:44] plightb__, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:39:17] plightb__, joining. (#selenium)
[2013-06-23 08:39:17] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:39:57] plightbo_work, joining. (#selenium)
[2013-06-23 08:40:09] plightb__, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:40:12] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:40:24] plightbo_work, joining. (#selenium)
[2013-06-23 08:40:41] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:40:50] plightbo_work, joining. (#selenium)
[2013-06-23 08:41:07] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:41:16] plightbo_work, joining. (#selenium)
[2013-06-23 08:41:33] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:41:41] plightbo_work, joining. (#selenium)
[2013-06-23 08:41:57] cpt_jack, changing nick to pathfinder.
[2013-06-23 08:41:58] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:42:08] plightbo_work, joining. (#selenium)
[2013-06-23 08:42:22] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:42:29] txwikinger, quitting. (Ping timeout: 240 seconds)
[2013-06-23 08:42:34] plightbo_work, joining. (#selenium)
[2013-06-23 08:42:48] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:43:00] plightbo_work, joining. (#selenium)
[2013-06-23 08:43:14] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:43:27] plightbo_work, joining. (#selenium)
[2013-06-23 08:43:44] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:43:53] plightbo_work, joining. (#selenium)
[2013-06-23 08:44:07] txwikinger, joining. (#selenium)
[2013-06-23 08:44:10] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:46:54] plightbo_work, joining. (#selenium)
[2013-06-23 08:47:08] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:47:12] pathfinder, changing nick to cpt_jack.
[2013-06-23 08:48:12] plightbo_work, joining. (#selenium)
[2013-06-23 08:48:29] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:49:30] plightbo_work, joining. (#selenium)
[2013-06-23 08:49:45] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:49:55] plightbo_work, joining. (#selenium)
[2013-06-23 08:50:10] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:50:22] plightbo_work, joining. (#selenium)
[2013-06-23 08:50:35] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:51:42] plightbo_work, joining. (#selenium)
[2013-06-23 08:51:56] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 08:52:09] plightbo_work, joining. (#selenium)
[2013-06-23 08:53:19] cpt_jack: do most people use python here?
[2013-06-23 08:54:47] txwikinger, quitting. (Ping timeout: 248 seconds)
[2013-06-23 08:56:26] txwikinger, joining. (#selenium)
[2013-06-23 08:56:30] plightbo_work, quitting. (Ping timeout: 256 seconds)
[2013-06-23 09:01:12] txwikinger, quitting. (Ping timeout: 268 seconds)
[2013-06-23 09:07:36] jimpurbrick, quitting. (Quit: Leaving.)
[2013-06-23 09:09:52] txwikinger, joining. (#selenium)
[2013-06-23 09:09:52] txwikinger, quitting. (Changing host)
[2013-06-23 09:09:52] txwikinger, joining. (#selenium)
[2013-06-23 09:11:42] tourdedave, quitting. (Quit: tourdedave)
[2013-06-23 09:14:03] Oscar_Rieken: no
[2013-06-23 09:14:05] phishy, joining. (#selenium)
[2013-06-23 09:20:42] ryanpetrello, joining. (#selenium)
[2013-06-23 09:24:01] jimpurbrick, joining. (#selenium)
[2013-06-23 09:26:47] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-23 09:27:29] Turzai, quitting. (Ping timeout: 240 seconds)
[2013-06-23 09:30:04] freynaud, joining. (#selenium)
[2013-06-23 09:33:07] tourdedave, joining. (#selenium)
[2013-06-23 09:37:15] cpt_jack, quitting. (Remote host closed the connection)
[2013-06-23 09:44:58] jimpurbrick, quitting. (Quit: Leaving.)
[2013-06-23 09:45:25] testingb0t, joining. (#selenium)
[2013-06-23 09:51:55] freynaud, quitting. (Quit: freynaud)
[2013-06-23 09:52:39] plightbo_work, joining. (#selenium)
[2013-06-23 09:57:34] plightbo_work, quitting. (Ping timeout: 276 seconds)
[2013-06-23 09:57:47] Oscar_Rieken, quitting. (Quit: Leaving.)
[2013-06-23 09:57:54] Oscar, joining. (#selenium)
[2013-06-23 10:02:33] tobie, joining. (#selenium)
[2013-06-23 10:15:19] jimpurbrick, joining. (#selenium)
[2013-06-23 10:15:34] gittish, joining. (#selenium)
[2013-06-23 10:17:21] p0deje, quitting. (Quit: p0deje)
[2013-06-23 10:19:31] tobie, quitting. (Quit: tobie)
[2013-06-23 10:23:13] jimpurbrick, quitting. (Ping timeout: 268 seconds)
[2013-06-23 10:24:46] jsflax, joining. (#selenium)
[2013-06-23 10:28:35] jsflax, changing nick to cpt_jack.
[2013-06-23 10:33:58] tobie, joining. (#selenium)
[2013-06-23 10:43:57] tourdedave, quitting. (Quit: tourdedave)
[2013-06-23 10:46:23] tourdedave, joining. (#selenium)
