[2015-09-20 00:34:22] [rahul], quitting. (Quit: This computer has gone to sleep)
[2015-09-20 14:33:19] Neo--, joining. (#selenium)
[2015-09-20 14:44:00] spacenomad, joining. (#selenium)
[2015-09-20 14:49:26] Ardesco, joining. (#selenium)
[2015-09-20 14:49:45] spacenomad, quitting. (Quit: Wandering through space...)
[2015-09-20 15:00:03] Ardesco, quitting. (Quit: Ardesco)
[2015-09-20 15:00:58] Guest48, joining. (#selenium)
[2015-09-20 15:12:50] rorycb, joining. (#selenium)
[2015-09-20 15:17:00] rorycb, quitting. (Ping timeout: 240 seconds)
[2015-09-20 15:18:32] Guest48, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-09-20 15:34:49] Guest48, joining. (#selenium)
[2015-09-20 15:35:12] Guest48, quitting. (Client Quit)
[2015-09-20 15:43:42] qwebirc37415, joining. (#selenium)
[2015-09-20 15:43:48] Guest48, joining. (#selenium)
[2015-09-20 15:43:57] qwebirc37415: Hey
[2015-09-20 15:46:23] qwebirc37415: I wanna ask simple quetion...i am using eclipse ide for selenium...i have imported all the jar files in eclipse but when running a code for example getting a url of firefox,their is opening of bash shell script what to do,plz tell how to open  the present url.....
[2015-09-20 15:52:41] qwebirc37415, quitting. (Ping timeout: 246 seconds)
[2015-09-20 15:53:47] boxmein, quitting. (Quit: <there is a hilarious joke here>)
[2015-09-20 15:57:02] swampdragons, joining. (#selenium)
[2015-09-20 16:06:46] alien_, quitting. (Ping timeout: 256 seconds)
[2015-09-20 16:14:03] Meorge, joining. (#selenium)
[2015-09-20 16:18:35] dolu, joining. (#selenium)
[2015-09-20 16:44:14] swampdragons1, joining. (#selenium)
[2015-09-20 16:44:18] swampdragons, quitting. (Ping timeout: 246 seconds)
[2015-09-20 16:47:20] Guest48, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-09-20 16:51:10] swampdragons1, quitting. (Quit: Leaving.)
[2015-09-20 17:22:38] dimacus, joining. (#selenium)
[2015-09-20 17:26:04] dimacus, quitting. (Client Quit)
[2015-09-20 17:53:38] Guest48, joining. (#selenium)
[2015-09-20 18:00:22] btul, quitting. ()
[2015-09-20 18:24:53] btul, joining. (#selenium)
[2015-09-20 18:27:25] ybian, joining. (#selenium)
[2015-09-20 18:48:41] Guest48, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-09-20 19:07:04] btul, quitting. ()
[2015-09-20 19:14:25] rorycb, joining. (#selenium)
[2015-09-20 19:19:07] rorycb, quitting. (Ping timeout: 265 seconds)
[2015-09-20 19:26:46] tony3, quitting. (Quit: Leaving.)
[2015-09-20 19:30:02] btulchinsky, joining. (#selenium)
[2015-09-20 19:51:15] nirvdrum, joining. (#selenium)
[2015-09-20 20:00:35] alu, joining. (#selenium)
[2015-09-20 20:00:40] alu: i cant import webdriver
[2015-09-20 20:00:43] alu: i keep getting error
[2015-09-20 20:00:47] alu: i uninstalled and reinstalled 2.37.2
[2015-09-20 20:00:51] alu: still cant import name webdriver
[2015-09-20 20:01:00] alu: i installed via pip3 install selenium
[2015-09-20 20:01:03] Padawan, joining. (#selenium)
[2015-09-20 20:01:09] alu: and then uninstalled and resinstalled selenium==2.37.2
[2015-09-20 20:02:13] Guest48, joining. (#selenium)
[2015-09-20 20:09:16] Guest48, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-09-20 20:11:16] swampdragons, joining. (#selenium)
[2015-09-20 20:16:50] Padawan, quitting. (Quit: WeeChat 1.1.1)
[2015-09-20 20:19:20] loa, quitting. (Remote host closed the connection)
[2015-09-20 20:26:34] nirvdrum, quitting. (Ping timeout: 246 seconds)
[2015-09-20 20:31:45] rananda, quitting. (Ping timeout: 255 seconds)
[2015-09-20 20:35:16] Sudhansu, joining. (#selenium)
[2015-09-20 20:40:00] Sudhansu, quitting. (Ping timeout: 264 seconds)
[2015-09-20 20:44:38] Sudhansu, joining. (#selenium)
[2015-09-20 20:44:43] rananda, joining. (#selenium)
[2015-09-20 20:52:49] kggr, joining. (#selenium)
[2015-09-20 20:53:16] titusfor_, joining. (#selenium)
[2015-09-20 21:08:44] btulchinsky, quitting. (Read error: Connection reset by peer)
[2015-09-20 21:08:55] btulchinsky, joining. (#selenium)
[2015-09-20 21:09:40] dolu, quitting. (Quit: Leaving.)
[2015-09-20 21:17:40] kggr, quitting. (Ping timeout: 246 seconds)
[2015-09-20 21:26:57] Meorge, quitting. (Quit: Textual IRC Client: www.textualapp.com)
[2015-09-20 21:30:48] Padawan, joining. (#selenium)
[2015-09-20 21:43:34] dude-x, joining. (#selenium)
[2015-09-20 21:50:42] dolu, joining. (#selenium)
[2015-09-20 21:51:33] dude-x, quitting. (Remote host closed the connection)
[2015-09-20 22:06:09] kggr, joining. (#selenium)
[2015-09-20 22:09:23] tourdedave: My kingdom for download statistics from mvnrepository.com!
[2015-09-20 22:53:43] dolu, quitting. (Quit: Leaving.)
[2015-09-20 22:53:43] titusfor_, quitting. (Read error: Connection reset by peer)
[2015-09-20 22:58:05] p0deje, joining. (#selenium)
[2015-09-20 23:20:56] SitamJana, joining. (#selenium)
[2015-09-20 23:26:59] rananda, quitting. (Ping timeout: 260 seconds)
[2015-09-20 23:28:21] sorinb, quitting. (Quit: Leaving)
[2015-09-20 23:46:47] rananda, joining. (#selenium)
[2015-09-20 23:53:56] Nizumzen, joining. (#selenium)
