[2015-09-05 08:18:28] btulchinsky, joining. (#selenium)
[2015-09-05 08:18:48] lvanderpool, joining. (#selenium)
[2015-09-05 08:23:08] btulchinsky, quitting. (Remote host closed the connection)
[2015-09-05 08:23:48] lvanderpool, quitting. (Ping timeout: 268 seconds)
[2015-09-05 08:24:05] Nizumzen, quitting. (Quit: KVIrc 4.2.0 Equilibrium http://www.kvirc.net/)
[2015-09-05 08:24:24] titusfortner, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-09-05 08:26:53] titusfortner, joining. (#selenium)
[2015-09-05 08:42:58] titusfortner, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-09-05 08:43:23] titusfortner, joining. (#selenium)
[2015-09-05 08:49:41] titusfortner, quitting. (Quit: Textual IRC Client: www.textualapp.com)
[2015-09-05 09:04:23] oida, quitting. (Ping timeout: 264 seconds)
[2015-09-05 09:06:24] oida, joining. (#selenium)
[2015-09-05 09:06:47] tiagoboldt, joining. (#selenium)
[2015-09-05 09:19:22] lvanderpool, joining. (#selenium)
[2015-09-05 09:19:50] btulchinsky, joining. (#selenium)
[2015-09-05 09:24:03] lvanderpool, quitting. (Ping timeout: 244 seconds)
[2015-09-05 09:39:52] clarkenciel, joining. (#selenium)
[2015-09-05 09:40:28] kggr, joining. (#selenium)
[2015-09-05 09:48:34] djinni, quitting. (Ping timeout: 246 seconds)
[2015-09-05 09:53:37] djinni, joining. (#selenium)
[2015-09-05 09:53:59] Nizumzen, joining. (#selenium)
[2015-09-05 10:13:46] oida, quitting. (Ping timeout: 240 seconds)
[2015-09-05 10:17:14] oida, joining. (#selenium)
[2015-09-05 10:20:03] lvanderpool, joining. (#selenium)
[2015-09-05 10:21:34] mekhami, quitting. (Quit: WeeChat 0.4.2)
[2015-09-05 10:21:40] lvanderpool, quitting. (Client Quit)
[2015-09-05 10:22:11] smccarthy, joining. (#selenium)
[2015-09-05 10:22:57] clarkenciel, quitting. (Remote host closed the connection)
