[2015-07-12 12:19:29] korg, joining. (#selenium)
[2015-07-12 12:23:21] kggr, quitting. (Ping timeout: 240 seconds)
[2015-07-12 12:25:21] korg, quitting. (Ping timeout: 240 seconds)
[2015-07-12 12:41:41] dude-x, quitting. (Remote host closed the connection)
[2015-07-12 12:45:20] dude-x, joining. (#selenium)
[2015-07-12 12:46:30] michl68, quitting. (Quit: michl68)
[2015-07-12 13:00:43] smccarthy, joining. (#selenium)
[2015-07-12 13:05:28] merike, changing nick to merike|away.
[2015-07-12 13:07:22] leandroal, joining. (#selenium)
[2015-07-12 13:13:38] fabrice31, joining. (#selenium)
[2015-07-12 13:18:13] fabrice31, quitting. (Ping timeout: 256 seconds)
[2015-07-12 13:42:17] smccarthy, quitting. (Remote host closed the connection)
[2015-07-12 13:45:54] leandroal, quitting. (Quit: This computer has gone to sleep)
[2015-07-12 13:51:58] MXfive, joining. (#selenium)
[2015-07-12 14:07:47] Selenium-Github: [13selenium] 15eelgheez opened pull request #769: Ignore failures in WebDriver#quit(). (06master...06master) 02http://git.io/vmvYY
[2015-07-12 14:35:24] smccarthy, joining. (#selenium)
[2015-07-12 14:48:45] dude-x, quitting. (Remote host closed the connection)
[2015-07-12 14:50:24] dude-x, joining. (#selenium)
[2015-07-12 15:05:47] sgsabbage, quitting. (Quit: Leaving...)
[2015-07-12 15:14:28] fabrice31, joining. (#selenium)
[2015-07-12 15:19:03] fabrice31, quitting. (Ping timeout: 256 seconds)
[2015-07-12 15:24:17] MXfive, quitting. (Quit: Quit)
[2015-07-12 15:25:23] DonVitoCorleone, quitting. (Ping timeout: 246 seconds)
[2015-07-12 15:27:53] DonVitoCorleone, joining. (#selenium)
[2015-07-12 15:45:38] gabecase, quitting. (Remote host closed the connection)
[2015-07-12 15:48:33] cristi, quitting. (Quit: Leaving)
[2015-07-12 15:49:39] cristi, joining. (#selenium)
[2015-07-12 15:54:16] cristi, quitting. (Ping timeout: 255 seconds)
[2015-07-12 16:32:57] Mixologic_, joining. (#selenium)
[2015-07-12 16:35:39] asm89, quitting. (Ping timeout: 252 seconds)
[2015-07-12 16:36:16] Mixologic, quitting. (Ping timeout: 276 seconds)
[2015-07-12 16:37:23] gabecase, joining. (#selenium)
[2015-07-12 16:38:05] asm89, joining. (#selenium)
[2015-07-12 16:40:48] leandroal, joining. (#selenium)
[2015-07-12 16:42:36] felixn, quitting. (Excess Flood)
[2015-07-12 16:42:48] Takumo, quitting. (Ping timeout: 252 seconds)
[2015-07-12 16:42:52] felixn, joining. (#selenium)
[2015-07-12 16:43:11] Takumo, joining. (#selenium)
[2015-07-12 16:43:11] Takumo, quitting. (Changing host)
[2015-07-12 16:43:11] Takumo, joining. (#selenium)
[2015-07-12 17:15:17] fabrice31, joining. (#selenium)
[2015-07-12 17:19:50] fabrice31, quitting. (Ping timeout: 252 seconds)
[2015-07-12 17:22:58] leandroal, quitting. (Quit: This computer has gone to sleep)
[2015-07-12 17:30:02] peret, quitting. (Remote host closed the connection)
[2015-07-12 17:59:13] dude-x, quitting. (Remote host closed the connection)
[2015-07-12 18:04:00] leandroal, joining. (#selenium)
[2015-07-12 18:08:44] dude-x, joining. (#selenium)
[2015-07-12 18:36:59] lvanderpool, joining. (#selenium)
[2015-07-12 18:37:43] lvanderpool, changing nick to mekhami.
[2015-07-12 19:09:36] tony2, quitting. (Quit: Leaving.)
[2015-07-12 19:15:57] leandroal, quitting. (Quit: This computer has gone to sleep)
[2015-07-12 19:16:05] fabrice31, joining. (#selenium)
[2015-07-12 19:16:50] leandroal, joining. (#selenium)
[2015-07-12 19:20:22] fabrice31, quitting. (Ping timeout: 240 seconds)
[2015-07-12 19:51:01] leandroal, quitting. (Quit: This computer has gone to sleep)
[2015-07-12 20:07:37] leandroal, joining. (#selenium)
[2015-07-12 20:11:43] mekhami, quitting. (Quit: WeeChat 1.1.1)
[2015-07-12 20:50:20] p0deje, joining. (#selenium)
[2015-07-12 21:13:29] dude-x, quitting. (Remote host closed the connection)
[2015-07-12 21:16:51] fabrice31, joining. (#selenium)
[2015-07-12 21:20:26] dude-x, joining. (#selenium)
[2015-07-12 21:21:12] fabrice31, quitting. (Ping timeout: 244 seconds)
[2015-07-12 21:40:10] gabecase, quitting. (Remote host closed the connection)
[2015-07-12 21:47:38] smccarthy, quitting. (Quit: Leaving...)
[2015-07-12 21:56:01] p0deje, quitting. (Quit: p0deje)
[2015-07-12 22:09:58] sjmikem, quitting. (Read error: Connection reset by peer)
[2015-07-12 22:26:39] MXfive, joining. (#selenium)
[2015-07-12 22:34:18] rananda, joining. (#selenium)
[2015-07-12 22:45:10] asmodai, quitting. (Changing host)
[2015-07-12 22:45:10] asmodai, joining. (#selenium)
[2015-07-12 22:49:10] kggr, joining. (#selenium)
[2015-07-12 22:50:52] p0deje, joining. (#selenium)
[2015-07-12 23:12:56] Rollup, joining. (#selenium)
[2015-07-12 23:16:37] farlan1, joining. (#selenium)
[2015-07-12 23:17:43] fabrice31, joining. (#selenium)
