[2015-07-25 17:41:51] railswebdev, joining. (#selenium)
[2015-07-25 17:43:23] sjmikem, quitting. (Ping timeout: 244 seconds)
[2015-07-25 17:49:53] tony3, quitting. (Quit: Leaving.)
[2015-07-25 17:50:23] bassface, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-07-25 18:03:10] tourdedave, quitting. ()
[2015-07-25 18:03:18] tourdedave, joining. (#selenium)
[2015-07-25 18:29:07] arbos, quitting. (Quit: Nettalk6 - www.ntalk.de)
[2015-07-25 18:42:51] sgsabbage, joining. (#selenium)
[2015-07-25 19:00:03] dude-x, joining. (#selenium)
[2015-07-25 19:04:32] dude-x, quitting. (Ping timeout: 240 seconds)
[2015-07-25 19:09:14] smccarthy, quitting. (Remote host closed the connection)
[2015-07-25 19:10:47] sgsabbage, quitting. (Quit: Leaving...)
[2015-07-25 19:11:44] ColinSauce, quitting. ()
[2015-07-25 19:11:53] ColinSauce, joining. (#selenium)
[2015-07-25 19:31:09] dimacus, joining. (#selenium)
[2015-07-25 19:41:28] railswebdev, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-07-25 19:53:41] railswebdev, joining. (#selenium)
[2015-07-25 19:55:55] elmcrest, quitting. ()
[2015-07-25 19:56:10] elmcrest, joining. (#selenium)
[2015-07-25 20:24:24] trcjr, quitting. (Read error: Connection reset by peer)
[2015-07-25 20:28:53] kggr, joining. (#selenium)
[2015-07-25 20:28:56] p0deje, joining. (#selenium)
[2015-07-25 20:49:59] dimacus, quitting. (Quit: Leaving.)
[2015-07-25 20:51:18] marmotworks, quitting. (Quit: marmotwork's ZNC died for some reason :|)
[2015-07-25 20:58:47] smccarthy, joining. (#selenium)
[2015-07-25 21:00:35] sjmikem, joining. (#selenium)
[2015-07-25 21:01:48] sircapsalot, joining. (#selenium)
[2015-07-25 21:02:17] knownasilya, quitting. (Quit: Connection closed for inactivity)
[2015-07-25 21:10:04] someone235, quitting. (Ping timeout: 244 seconds)
[2015-07-25 21:27:34] WhereIsMySpoon, joining. (#selenium)
[2015-07-25 21:53:14] railswebdev, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-07-25 22:00:57] p0deje, quitting. (Quit: p0deje)
[2015-07-25 22:11:14] phasze1, quitting. (Ping timeout: 256 seconds)
[2015-07-25 22:12:45] phasze, joining. (#selenium)
[2015-07-25 22:18:31] zeljkof, quitting. ()
[2015-07-25 22:18:41] zeljkof, joining. (#selenium)
[2015-07-25 22:26:54] fatguylaughing, quitting. (Quit: fatguylaughing)
[2015-07-25 22:31:00] phasze1, joining. (#selenium)
[2015-07-25 22:32:33] phasze, quitting. (Ping timeout: 260 seconds)
[2015-07-25 22:59:34] sjmikem, quitting. (Read error: Connection reset by peer)
[2015-07-25 23:00:01] sjmikem, joining. (#selenium)
[2015-07-25 23:00:01] ss_much, quitting. ()
[2015-07-25 23:00:12] ss_much, joining. (#selenium)
[2015-07-25 23:01:30] sjmikem, changing nick to sjmikem__.
[2015-07-25 23:05:38] mekhami, quitting. (Quit: WeeChat 0.4.2)
[2015-07-25 23:09:27] sjmikem, joining. (#selenium)
[2015-07-25 23:15:14] sjmikem__, quitting. (Remote host closed the connection)
[2015-07-25 23:18:57] smccarthy, quitting. (Quit: Leaving...)
[2015-07-25 23:37:23] WhereIsMySpoon, quitting. (Quit: Connection closed for inactivity)
[2015-07-25 23:41:42] someone235, joining. (#selenium)
