[2014-01-12 00:12:11] jimpurbrick, joining. (#selenium)
[2014-01-12 00:16:44] SamuraiJack, joining. (#selenium)
[2014-01-12 00:16:45] jimpurbrick, quitting. (Ping timeout: 272 seconds)
[2014-01-12 00:22:42] Ankhular, joining. (#selenium)
[2014-01-12 00:23:38] bimmelino, joining. (#selenium)
[2014-01-12 00:23:40] Ankhular: Hello - please take a glance at this stackoverflow http://stackoverflow.com/questions/21072439/protractor-0-16-1-e2e-angularjs-starting-selenium-standalone-server-events
[2014-01-12 00:32:41] tony, joining. (#selenium)
[2014-01-12 00:37:23] tony, quitting. (Ping timeout: 252 seconds)
[2014-01-12 00:40:52] sbos99, quitting. (Quit: Leaving)
[2014-01-12 00:42:51] jimpurbrick, joining. (#selenium)
[2014-01-12 00:44:36] admc, joining. (#selenium)
[2014-01-12 00:44:38] admc, quitting. (Remote host closed the connection)
[2014-01-12 00:45:14] admc, joining. (#selenium)
[2014-01-12 00:45:16] admc, quitting. (Remote host closed the connection)
[2014-01-12 00:45:52] admc, joining. (#selenium)
[2014-01-12 00:45:54] admc, quitting. (Remote host closed the connection)
[2014-01-12 00:47:20] admc, joining. (#selenium)
[2014-01-12 00:47:21] admc, quitting. (Client Quit)
[2014-01-12 00:47:44] jimpurbrick, quitting. (Ping timeout: 265 seconds)
[2014-01-12 01:01:51] admc, joining. (#selenium)
[2014-01-12 01:04:17] admc, quitting. (Client Quit)
[2014-01-12 01:13:35] jimpurbrick, joining. (#selenium)
[2014-01-12 01:18:11] jimpurbrick, quitting. (Ping timeout: 260 seconds)
[2014-01-12 01:24:53] stackedsax, quitting. (Quit: Leaving.)
[2014-01-12 01:28:20] janmalte, joining. (#selenium)
[2014-01-12 01:33:25] tony1, joining. (#selenium)
[2014-01-12 01:37:55] tony1, quitting. (Ping timeout: 245 seconds)
[2014-01-12 01:44:17] jimpurbrick, joining. (#selenium)
[2014-01-12 01:48:57] jimpurbrick, quitting. (Ping timeout: 272 seconds)
[2014-01-12 02:04:21] SamuraiJack, quitting. (Ping timeout: 248 seconds)
[2014-01-12 02:07:30] admc, joining. (#selenium)
[2014-01-12 02:10:46] admc, quitting. (Client Quit)
[2014-01-12 02:15:05] jimpurbrick, joining. (#selenium)
[2014-01-12 02:16:45] farlan1, joining. (#selenium)
[2014-01-12 02:16:46] farlan, quitting. (Read error: Connection reset by peer)
[2014-01-12 02:19:13] jimpurbrick, quitting. (Ping timeout: 246 seconds)
[2014-01-12 02:31:15] janmalte, quitting. (Ping timeout: 245 seconds)
[2014-01-12 02:34:09] tony1, joining. (#selenium)
[2014-01-12 02:39:15] tony1, quitting. (Ping timeout: 272 seconds)
[2014-01-12 02:43:06] andy_seit, joining. (#selenium)
[2014-01-12 02:45:48] jimpurbrick, joining. (#selenium)
[2014-01-12 02:50:50] SamuraiJack, joining. (#selenium)
[2014-01-12 02:54:35] jimpurbrick, quitting. (Ping timeout: 245 seconds)
[2014-01-12 03:08:05] drd, quitting. (*.net *.split)
[2014-01-12 03:08:06] moo-_-, quitting. (*.net *.split)
[2014-01-12 03:08:06] Cheekio, quitting. (*.net *.split)
[2014-01-12 03:08:06] jrgill, quitting. (*.net *.split)
[2014-01-12 03:08:06] nplatt, quitting. (*.net *.split)
[2014-01-12 03:08:06] jibay, quitting. (*.net *.split)
[2014-01-12 03:08:06] selbot2____, quitting. (*.net *.split)
[2014-01-12 03:08:06] apollo13, quitting. (*.net *.split)
[2014-01-12 03:08:06] akitada, quitting. (*.net *.split)
[2014-01-12 03:08:06] jmathes, quitting. (*.net *.split)
[2014-01-12 03:08:06] krosenvold____, quitting. (*.net *.split)
[2014-01-12 03:08:06] OliverJAsh, quitting. (*.net *.split)
[2014-01-12 03:08:06] jab416171, quitting. (*.net *.split)
[2014-01-12 03:08:06] barancev, quitting. (*.net *.split)
[2014-01-12 03:08:06] dgrace, quitting. (*.net *.split)
[2014-01-12 03:08:06] Garrick_, quitting. (*.net *.split)
[2014-01-12 03:08:07] HashNuke, quitting. (*.net *.split)
[2014-01-12 03:08:07] garndt, quitting. (*.net *.split)
[2014-01-12 03:08:07] jds, quitting. (*.net *.split)
[2014-01-12 03:08:07] nicegraham, quitting. (*.net *.split)
[2014-01-12 03:08:07] also, quitting. (*.net *.split)
[2014-01-12 03:08:07] detronizator_, quitting. (*.net *.split)
[2014-01-12 03:08:07] capri-, quitting. (*.net *.split)
[2014-01-12 03:08:07] diminoten, quitting. (*.net *.split)
[2014-01-12 03:21:23] jimpurbrick, joining. (#selenium)
[2014-01-12 03:25:57] jimpurbrick, quitting. (Ping timeout: 252 seconds)
[2014-01-12 03:34:55] tony1, joining. (#selenium)
[2014-01-12 03:39:36] tony1, quitting. (Ping timeout: 252 seconds)
[2014-01-12 03:43:56] moo-_-, joining. (#selenium)
[2014-01-12 03:43:56] Cheekio, joining. (#selenium)
[2014-01-12 03:47:45] akitada, joining. (#selenium)
[2014-01-12 03:47:45] OliverJAsh, joining. (#selenium)
[2014-01-12 03:47:45] jab416171, joining. (#selenium)
[2014-01-12 03:47:45] krosenvold____, joining. (#selenium)
[2014-01-12 03:47:45] dgrace, joining. (#selenium)
[2014-01-12 03:47:45] barancev, joining. (#selenium)
[2014-01-12 03:47:45] jmathes, joining. (#selenium)
[2014-01-12 03:47:45] also, joining. (#selenium)
[2014-01-12 03:47:45] Garrick_, joining. (#selenium)
[2014-01-12 03:47:45] HashNuke, joining. (#selenium)
[2014-01-12 03:47:45] detronizator_, joining. (#selenium)
[2014-01-12 03:47:45] garndt, joining. (#selenium)
[2014-01-12 03:47:45] nicegraham, joining. (#selenium)
[2014-01-12 03:47:45] diminoten, joining. (#selenium)
[2014-01-12 03:47:45] jds, joining. (#selenium)
[2014-01-12 03:47:45] capri-, joining. (#selenium)
[2014-01-12 03:51:07] el_fuego, joining. (#selenium)
[2014-01-12 03:51:07] drd, joining. (#selenium)
[2014-01-12 03:51:07] jrgill, joining. (#selenium)
[2014-01-12 03:51:07] jibay, joining. (#selenium)
[2014-01-12 03:51:07] nplatt, joining. (#selenium)
[2014-01-12 03:51:07] selbot2____, joining. (#selenium)
[2014-01-12 03:51:07] apollo13, joining. (#selenium)
[2014-01-12 03:51:19] el_fuego, quitting. (Read error: Connection reset by peer)
[2014-01-12 03:52:07] jimpurbrick, joining. (#selenium)
[2014-01-12 03:52:41] el_fuego, joining. (#selenium)
[2014-01-12 03:54:01] stackedsax1, joining. (#selenium)
[2014-01-12 03:56:47] jimpurbrick, quitting. (Ping timeout: 272 seconds)
[2014-01-12 04:22:50] jimpurbrick, joining. (#selenium)
[2014-01-12 04:27:57] jimpurbrick, quitting. (Ping timeout: 276 seconds)
[2014-01-12 04:35:42] tony1, joining. (#selenium)
[2014-01-12 04:39:55] tony1, quitting. (Ping timeout: 246 seconds)
[2014-01-12 04:40:40] barancev, quitting. (Read error: Connection reset by peer)
[2014-01-12 04:40:49] barancev, joining. (#selenium)
[2014-01-12 04:51:18] tony1, joining. (#selenium)
[2014-01-12 04:53:31] jimpurbrick, joining. (#selenium)
[2014-01-12 04:54:41] jaywink, joining. (#selenium)
[2014-01-12 04:56:10] tony1, quitting. (Ping timeout: 265 seconds)
[2014-01-12 04:57:55] jimpurbrick, quitting. (Ping timeout: 245 seconds)
[2014-01-12 04:59:49] janmalte, joining. (#selenium)
[2014-01-12 05:06:11] jaywink, quitting. (Ping timeout: 272 seconds)
[2014-01-12 05:18:17] tourdedave, joining. (#selenium)
[2014-01-12 05:24:16] jimpurbrick, joining. (#selenium)
[2014-01-12 05:28:53] jimpurbrick, quitting. (Ping timeout: 252 seconds)
[2014-01-12 05:29:48] tourdedave, quitting. (Quit: My MacBook has gone to sleep. ZZZzzz…)
[2014-01-12 05:33:51] el_fuego, quitting. (Remote host closed the connection)
[2014-01-12 05:52:04] tony1, joining. (#selenium)
[2014-01-12 05:55:03] jimpurbrick, joining. (#selenium)
[2014-01-12 05:57:13] tony1, quitting. (Ping timeout: 272 seconds)
[2014-01-12 05:59:21] jimpurbrick, quitting. (Ping timeout: 252 seconds)
[2014-01-12 06:06:02] bimmelino, leaving. (#selenium)
[2014-01-12 06:41:47] nirvdrum, joining. (#selenium)
[2014-01-12 06:47:01] janmalte, quitting. (Read error: Operation timed out)
[2014-01-12 06:52:47] tony1, joining. (#selenium)
[2014-01-12 06:57:05] tony1, quitting. (Ping timeout: 245 seconds)
[2014-01-12 07:15:22] jimpurbrick, joining. (#selenium)
[2014-01-12 07:19:51] jimpurbrick, quitting. (Ping timeout: 260 seconds)
[2014-01-12 07:23:05] smccarthy, joining. (#selenium)
[2014-01-12 07:28:40] SamuraiJack, quitting. (Read error: Operation timed out)
[2014-01-12 07:31:36] stackedsax1, quitting. (Quit: Leaving.)
[2014-01-12 07:53:36] tony1, joining. (#selenium)
[2014-01-12 07:58:12] tony1, quitting. (Ping timeout: 252 seconds)
[2014-01-12 08:07:16] jaywink, joining. (#selenium)
[2014-01-12 08:38:43] jaywink, quitting. (Ping timeout: 272 seconds)
[2014-01-12 08:46:15] jaywink, joining. (#selenium)
[2014-01-12 08:54:16] tony1, joining. (#selenium)
[2014-01-12 08:57:48] mreedell-work, joining. (#selenium)
[2014-01-12 08:58:45] tony1, quitting. (Ping timeout: 245 seconds)
[2014-01-12 09:07:06] mreedell-work, quitting. (Quit: Computer has gone to sleep.)
[2014-01-12 09:11:03] janmalte, joining. (#selenium)
[2014-01-12 09:26:53] SamuraiJack, joining. (#selenium)
[2014-01-12 09:55:02] tony1, joining. (#selenium)
[2014-01-12 09:55:21] admc, joining. (#selenium)
[2014-01-12 09:59:46] tony1, quitting. (Ping timeout: 252 seconds)
[2014-01-12 10:00:53] detronizator_: thoughtworks? why has part (all?) of the java code being refactored to come.thoughtworks (pure curiosity...)
[2014-01-12 10:01:41] janmalte, quitting. (Ping timeout: 252 seconds)
[2014-01-12 10:06:00] admc, quitting. (Quit: Leaving.)
[2014-01-12 10:08:16] Vishwas, joining. (#selenium)
[2014-01-12 10:08:30] Vishwas: hii guys
[2014-01-12 10:15:21] Vishwas, quitting. (Ping timeout: 272 seconds)
[2014-01-12 10:36:15] Ankhular, quitting. (Ping timeout: 272 seconds)
[2014-01-12 10:39:09] llaskin, joining. (#selenium)
[2014-01-12 10:39:30] railis, joining. (#selenium)
[2014-01-12 10:39:47] railis: Hi Guys, I have a question
[2014-01-12 10:40:29] railis: I want to prepare a webpage tests, with couple of clicks
[2014-01-12 10:40:45] railis: but there is one page, i have a flash video recorder
[2014-01-12 10:41:12] railis: each time selenium opens a browser in new session, there is a flash privacy popup, asking for camera/mic access
[2014-01-12 10:41:33] railis: is there any option to bypas this, because I'm not able to click this popup in automated way
[2014-01-12 10:48:38] Zeusdude: chromes mic access confirmation dialog only appears once if the service is running through https
[2014-01-12 10:48:58] Zeusdude: maybe something similar could be used with flash
[2014-01-12 10:51:15] railis: nope, flash settings are kind of external and global, and have nothing to do with protocol
[2014-01-12 10:51:35] railis: can I force selenium to open a browser using actual sesion?
[2014-01-12 10:55:44] tony1, joining. (#selenium)
[2014-01-12 10:58:02] tourdedave, joining. (#selenium)
[2014-01-12 10:59:29] railis: can I use somehow my current configuration in selenium instead of opening clean session?
[2014-01-12 11:00:07] tony1, quitting. (Ping timeout: 245 seconds)
[2014-01-12 11:16:57] SamuraiJack, quitting. (Ping timeout: 272 seconds)
[2014-01-12 11:17:34] intchanter-work, joining. (#selenium)
[2014-01-12 11:22:39] intchanter-work, quitting. (Ping timeout: 276 seconds)
[2014-01-12 11:24:20] llaskin, quitting. (Quit: Leaving.)
[2014-01-12 11:26:52] llaskin, joining. (#selenium)
[2014-01-12 11:33:59] tourdedave, quitting. (Quit: My MacBook has gone to sleep. ZZZzzz…)
[2014-01-12 11:40:03] davidlai, joining. (#selenium)
[2014-01-12 11:56:29] tony1, joining. (#selenium)
[2014-01-12 12:01:17] tony1, quitting. (Ping timeout: 272 seconds)
[2014-01-12 12:29:32] davidlai, quitting. (Quit: Leaving.)
[2014-01-12 12:56:41] mreedell-work, joining. (#selenium)
[2014-01-12 12:57:20] tony1, joining. (#selenium)
