[2013-07-06 13:56:11] Selenium-Git: 13selenium/06master 1417e88be 15Samit Badle: Bumping Selenium IDE version for new release with key* fixes
[2013-07-06 13:56:11] Selenium-Git, leaving. (#selenium)
[2013-07-06 14:00:29] davidlai, joining. (#selenium)
[2013-07-06 14:05:59] jlipps, joining. (#selenium)
[2013-07-06 14:06:05] jlipps1, joining. (#selenium)
[2013-07-06 14:07:01] jlipps, quitting. (Read error: Connection reset by peer)
[2013-07-06 14:09:05] seljenkinsbot: Project SeleniumHQ build #123: SUCCESS in 1 min 2 sec: http://ci.seleniumhq.org:8080/job/SeleniumHQ/123/
[2013-07-06 14:09:05] seljenkinsbot: Samit Badle: Updating Selenium IDE release links
[2013-07-06 14:21:49] DrJenkins, joining. (#selenium)
[2013-07-06 14:25:26] brockfredin, quitting. (Ping timeout: 276 seconds)
[2013-07-06 14:26:07] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-07-06 14:26:37] smccarthy, quitting. (Remote host closed the connection)
[2013-07-06 14:29:24] DrJenkins, joining. (#selenium)
[2013-07-06 14:35:38] testingb0t, quitting. (Quit: Leaving.)
[2013-07-06 14:38:31] DrJenkins, quitting. (Remote host closed the connection)
[2013-07-06 14:50:03] mreedell, joining. (#selenium)
[2013-07-06 14:58:25] admc1, joining. (#selenium)
[2013-07-06 15:00:56] admc, quitting. (Ping timeout: 268 seconds)
[2013-07-06 15:04:58] seljenkinsbot: Project IE 9 Java Tests build #2689: FIXED in 11 min: http://ci.seleniumhq.org:8080/job/IE%209%20Java%20Tests/2689/
[2013-07-06 15:19:14] mreedell-work, joining. (#selenium)
[2013-07-06 15:20:56] admc1, quitting. (Quit: Leaving.)
[2013-07-06 15:28:03] mreedell-work, quitting. (Quit: Computer has gone to sleep.)
[2013-07-06 15:28:59] p0deje, joining. (#selenium)
[2013-07-06 15:32:35] detronizator, joining. (#selenium)
[2013-07-06 15:35:25] admc, joining. (#selenium)
[2013-07-06 15:35:51] admc, quitting. (Client Quit)
[2013-07-06 15:39:00] DrJenkins, joining. (#selenium)
[2013-07-06 15:43:31] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-07-06 15:45:59] tourdedave, joining. (#selenium)
[2013-07-06 15:46:47] ShawnM, joining. (#selenium)
[2013-07-06 15:51:55] hirani, quitting. (Quit: Leaving.)
[2013-07-06 15:58:39] mreedell-work, joining. (#selenium)
[2013-07-06 16:00:16] tourdedave, quitting. (Ping timeout: 256 seconds)
[2013-07-06 16:04:12] DrJenkins, joining. (#selenium)
[2013-07-06 16:08:37] tourdedave, joining. (#selenium)
[2013-07-06 16:11:07] hirani, joining. (#selenium)
[2013-07-06 16:16:12] DrJenkins, quitting. (Remote host closed the connection)
[2013-07-06 16:22:33] ShawnM, quitting. (Remote host closed the connection)
[2013-07-06 16:24:38] detronizator, quitting. (Remote host closed the connection)
[2013-07-06 16:24:43] arex\\, joining. (#selenium)
[2013-07-06 16:25:10] detronizator, joining. (#selenium)
[2013-07-06 16:29:43] detronizator, quitting. (Ping timeout: 256 seconds)
[2013-07-06 16:29:49] p0deje, quitting. (Quit: p0deje)
[2013-07-06 16:30:19] mreedell-work, quitting. (Quit: Computer has gone to sleep.)
[2013-07-06 17:00:19] o3u, quitting. (Ping timeout: 264 seconds)
[2013-07-06 17:02:29] brettporter, joining. (#selenium)
[2013-07-06 17:07:10] Mkop, quitting. (Ping timeout: 252 seconds)
[2013-07-06 17:10:04] mreedell, quitting. (Quit: Computer has gone to sleep.)
[2013-07-06 17:26:47] DrJenkins, joining. (#selenium)
[2013-07-06 17:30:27] plightbo_work, quitting. (Remote host closed the connection)
[2013-07-06 17:30:54] plightbo_work, joining. (#selenium)
[2013-07-06 17:31:14] DrJenkins, quitting. (Ping timeout: 256 seconds)
[2013-07-06 17:32:05] o3u, joining. (#selenium)
[2013-07-06 17:33:11] ShawnM, joining. (#selenium)
[2013-07-06 17:35:12] plightbo_work, quitting. (Ping timeout: 256 seconds)
[2013-07-06 17:37:35] ShawnM, quitting. (Ping timeout: 248 seconds)
[2013-07-06 17:47:44] jlipps1, quitting. (Ping timeout: 264 seconds)
[2013-07-06 17:50:30] o3u, quitting. (Ping timeout: 256 seconds)
[2013-07-06 17:52:07] o3u, joining. (#selenium)
[2013-07-06 17:52:16] jlipps, joining. (#selenium)
[2013-07-06 17:56:40] sr78ger, quitting. (Ping timeout: 264 seconds)
[2013-07-06 17:57:45] sr78ger, joining. (#selenium)
[2013-07-06 18:03:03] plightbo_work, joining. (#selenium)
[2013-07-06 18:03:41] plightb__, joining. (#selenium)
[2013-07-06 18:03:41] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-07-06 18:04:23] plightbo_work, joining. (#selenium)
[2013-07-06 18:04:23] plightb__, quitting. (Read error: Connection reset by peer)
[2013-07-06 18:05:05] plightb__, joining. (#selenium)
[2013-07-06 18:05:05] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-07-06 18:05:47] plightbo_work, joining. (#selenium)
[2013-07-06 18:05:47] plightb__, quitting. (Read error: Connection reset by peer)
[2013-07-06 18:06:29] plightb__, joining. (#selenium)
[2013-07-06 18:06:29] plightbo_work, quitting. (Read error: Connection reset by peer)
