[2013-07-13 00:02:16] admc, joining. (#selenium)
[2013-07-13 00:03:34] riotz, quitting. (Ping timeout: 248 seconds)
[2013-07-13 00:07:27] matelot, quitting. (Remote host closed the connection)
[2013-07-13 00:09:35] riotz, joining. (#selenium)
[2013-07-13 00:17:41] testingb0t, joining. (#selenium)
[2013-07-13 00:25:02] asavchuk, quitting. (Ping timeout: 276 seconds)
[2013-07-13 00:26:51] jost, joining. (#selenium)
[2013-07-13 00:36:27] asavchuk, joining. (#selenium)
[2013-07-13 00:43:27] asavchuk, quitting. (Ping timeout: 240 seconds)
[2013-07-13 00:43:47] smccarthy, quitting. (Remote host closed the connection)
[2013-07-13 00:45:46] robpark, joining. (#selenium)
[2013-07-13 00:49:14] p0deje, quitting. (Quit: p0deje)
[2013-07-13 00:50:14] robpark, quitting. (Ping timeout: 245 seconds)
[2013-07-13 00:54:31] p0deje, joining. (#selenium)
[2013-07-13 01:00:55] p0deje, quitting. (Quit: p0deje)
[2013-07-13 01:04:23] p_l, quitting. (Read error: Operation timed out)
[2013-07-13 01:05:09] tobie, quitting. (Quit: tobie)
[2013-07-13 01:09:48] SamuraiJack, quitting. (Quit: Konversation terminated!)
[2013-07-13 01:11:30] jost, quitting. (Remote host closed the connection)
[2013-07-13 01:20:05] riotz, quitting. (Quit: ZNC - http://znc.sourceforge.net)
[2013-07-13 01:27:27] SamuraiJack, joining. (#selenium)
[2013-07-13 01:30:39] riotz, joining. (#selenium)
[2013-07-13 01:30:40] riotz, quitting. (Changing host)
[2013-07-13 01:30:40] riotz, joining. (#selenium)
[2013-07-13 01:30:40] riotz, joining. (#selenium)
[2013-07-13 01:30:40] riotz, quitting. (Changing host)
[2013-07-13 01:46:04] SamuraiJack, quitting. (Ping timeout: 245 seconds)
[2013-07-13 02:48:47] detronizator, joining. (#selenium)
[2013-07-13 03:18:14] p_l, joining. (#selenium)
[2013-07-13 03:48:47] passion_for_web, joining. (#selenium)
[2013-07-13 03:50:00] passion_for_web: Hi , I am using selenium2 with behat and mink , I cant select my rows using css selector  tr.product:nth-of-type(N) with selenium
[2013-07-13 03:50:25] passion_for_web: what could be an alternate way to selecting?
[2013-07-13 04:03:34] zx29b, quitting. (Ping timeout: 245 seconds)
[2013-07-13 04:04:00] mreedell, joining. (#selenium)
[2013-07-13 04:11:00] zx29b, joining. (#selenium)
[2013-07-13 04:12:56] deadweasel, quitting. (Remote host closed the connection)
[2013-07-13 04:20:34] zx29b, quitting. (Ping timeout: 264 seconds)
[2013-07-13 04:25:06] zx29b, joining. (#selenium)
[2013-07-13 04:34:55] mreedell, quitting. (Quit: Computer has gone to sleep.)
[2013-07-13 04:56:10] detronizator, quitting. (Remote host closed the connection)
[2013-07-13 04:56:42] detronizator, joining. (#selenium)
[2013-07-13 05:00:51] detronizator, quitting. (Ping timeout: 246 seconds)
[2013-07-13 05:23:09] zx29b, quitting. (Ping timeout: 245 seconds)
[2013-07-13 05:30:51] robpark, joining. (#selenium)
[2013-07-13 05:32:14] zx29b, joining. (#selenium)
[2013-07-13 05:32:27] admc, quitting. (Quit: Leaving.)
[2013-07-13 05:47:44] zx29b, quitting. (Ping timeout: 245 seconds)
[2013-07-13 05:50:23] zx29b, joining. (#selenium)
[2013-07-13 05:58:09] zx29b, quitting. (Ping timeout: 245 seconds)
[2013-07-13 06:03:07] admc, joining. (#selenium)
[2013-07-13 06:04:27] zx29b, joining. (#selenium)
[2013-07-13 06:10:39] admc, quitting. (Ping timeout: 240 seconds)
[2013-07-13 06:17:19] passion_for_web: how to write xpath to find nth child of a table
[2013-07-13 06:17:21] passion_for_web: ?
[2013-07-13 06:17:23] passion_for_web: please help
[2013-07-13 06:21:48] passion_for_web, quitting. (Quit: Page closed)
[2013-07-13 06:24:13] ryanpetrello, joining. (#selenium)
[2013-07-13 06:34:24] ShawnM, joining. (#selenium)
[2013-07-13 06:38:25] zx29b, quitting. (Ping timeout: 260 seconds)
[2013-07-13 06:38:46] admc, joining. (#selenium)
[2013-07-13 06:39:53] zx29b, joining. (#selenium)
[2013-07-13 06:41:23] asavchuk, joining. (#selenium)
[2013-07-13 06:43:59] admc, quitting. (Ping timeout: 276 seconds)
[2013-07-13 06:44:24] zx29b, quitting. (Ping timeout: 245 seconds)
[2013-07-13 06:45:58] zx29b, joining. (#selenium)
[2013-07-13 07:19:13] nirvdrum, joining. (#selenium)
[2013-07-13 07:22:38] riv__, joining. (#selenium)
[2013-07-13 07:23:35] o3u, joining. (#selenium)
[2013-07-13 07:26:01] zx29b, quitting. (Ping timeout: 260 seconds)
[2013-07-13 07:30:25] asavchuk, quitting. (Quit: bye everyone)
[2013-07-13 07:30:53] ryanpetrello, quitting. (Remote host closed the connection)
[2013-07-13 07:32:03] zx29b, joining. (#selenium)
[2013-07-13 07:33:49] riv__, quitting. (Remote host closed the connection)
[2013-07-13 07:39:15] admc, joining. (#selenium)
[2013-07-13 07:40:43] stackedsax1, joining. (#selenium)
[2013-07-13 07:43:26] selenaphillips, joining. (#selenium)
[2013-07-13 07:44:26] admc, quitting. (Ping timeout: 276 seconds)
[2013-07-13 07:45:00] stackedsax1, quitting. (Ping timeout: 246 seconds)
[2013-07-13 07:57:10] rickdarcy, joining. (#selenium)
