[2015-05-02 10:31:21] merobertsjr_, joining. (#selenium)
[2015-05-02 10:54:25] sbos99, quitting. (Ping timeout: 240 seconds)
[2015-05-02 11:08:13] qba73, joining. (#selenium)
[2015-05-02 11:34:33] sbos99, joining. (#selenium)
[2015-05-02 11:49:05] amikiri, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-05-02 12:01:10] admc, joining. (#selenium)
[2015-05-02 12:25:45] oida, quitting. (Ping timeout: 276 seconds)
[2015-05-02 12:37:53] Hestil, joining. (#selenium)
[2015-05-02 12:45:16] eigenvalue, joining. (#selenium)
[2015-05-02 12:53:49] oida, joining. (#selenium)
[2015-05-02 12:59:26] amikiri, joining. (#selenium)
[2015-05-02 13:06:05] Hestil, quitting. (Remote host closed the connection)
[2015-05-02 13:09:35] cylon512, quitting. (Quit: leaving)
[2015-05-02 13:10:24] cylon512, joining. (#selenium)
[2015-05-02 13:22:00] sbos99, quitting. (Ping timeout: 272 seconds)
[2015-05-02 13:29:22] Hestil, joining. (#selenium)
[2015-05-02 13:43:12] admc, quitting. (Quit: Leaving.)
[2015-05-02 13:46:10] merike, changing nick to merike|away.
[2015-05-02 13:47:15] venom00ut, quitting. ()
[2015-05-02 13:47:33] eigenvalue, quitting. (Quit: Leaving)
[2015-05-02 13:51:04] amikiri, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-05-02 13:51:33] kggr, quitting. (Ping timeout: 276 seconds)
[2015-05-02 13:54:26] amikiri, joining. (#selenium)
[2015-05-02 13:55:31] doshi_jinesh, joining. (#selenium)
[2015-05-02 14:13:29] amikiri, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-05-02 14:15:44] Hestil, quitting. (Remote host closed the connection)
[2015-05-02 14:35:58] oida, quitting. (Ping timeout: 256 seconds)
[2015-05-02 15:04:35] oida, joining. (#selenium)
[2015-05-02 15:05:48] qba73, quitting. (Ping timeout: 246 seconds)
[2015-05-02 15:23:10] amikiri, joining. (#selenium)
[2015-05-02 15:26:40] Hestil, joining. (#selenium)
[2015-05-02 15:28:30] merobertsjr_, quitting. (Read error: Connection reset by peer)
[2015-05-02 15:28:53] merobertsjr_, joining. (#selenium)
[2015-05-02 15:31:42] Hestil, quitting. (Ping timeout: 272 seconds)
[2015-05-02 15:46:44] HenriettaSalt, quitting. (Quit: Lingo: www.lingoirc.com)
[2015-05-02 16:14:41] doshi_jinesh, quitting. (Ping timeout: 250 seconds)
[2015-05-02 16:52:16] Mixologic_, quitting. (Ping timeout: 276 seconds)
[2015-05-02 16:52:22] Mixologi-, joining. (#selenium)
[2015-05-02 17:04:51] mkaufman: Is it possible to control the mouse scroll?
[2015-05-02 18:11:54] amikiri, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-05-02 18:14:18] ghormoon, quitting. (Read error: Connection reset by peer)
[2015-05-02 18:18:04] amikiri, joining. (#selenium)
[2015-05-02 18:28:40] amikiri, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-05-02 18:31:18] oida, quitting. (Ping timeout: 265 seconds)
[2015-05-02 18:31:25] amikiri, joining. (#selenium)
[2015-05-02 18:34:26] oida, joining. (#selenium)
[2015-05-02 18:54:59] tony2, quitting. (Quit: Leaving.)
[2015-05-02 19:02:28] amikiri, quitting. (Ping timeout: 264 seconds)
[2015-05-02 19:07:00] amikiri, joining. (#selenium)
[2015-05-02 19:36:34] melter, quitting. (Ping timeout: 265 seconds)
[2015-05-02 19:42:05] p0deje, joining. (#selenium)
[2015-05-02 19:42:23] melter, joining. (#selenium)
[2015-05-02 19:55:12] smccarthy, joining. (#selenium)
[2015-05-02 20:07:01] Padawan, joining. (#selenium)
[2015-05-02 20:11:39] Padawan, quitting. (Ping timeout: 272 seconds)
[2015-05-02 20:11:50] Padawan_, joining. (#selenium)
[2015-05-02 20:16:09] p0deje, quitting. (Quit: p0deje)
[2015-05-02 20:20:07] sbos99, joining. (#selenium)
[2015-05-02 20:24:44] p0deje, joining. (#selenium)
[2015-05-02 20:26:53] amikiri, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-05-02 20:38:34] kggr, joining. (#selenium)
[2015-05-02 20:42:21] p0deje, quitting. (Quit: p0deje)
[2015-05-02 20:59:47] smccarthy, quitting. (Remote host closed the connection)
[2015-05-02 21:20:58] melter, quitting. (Ping timeout: 265 seconds)
[2015-05-02 21:40:14] sbos99, quitting. (Ping timeout: 276 seconds)
[2015-05-02 22:35:52] merobertsjr_, quitting. (Quit: Be back later ...)
[2015-05-02 22:36:29] merobertsjr_, joining. (#selenium)
[2015-05-02 22:38:41] merobertsjr__, joining. (#selenium)
[2015-05-02 22:40:48] merobertsjr_, quitting. (Ping timeout: 240 seconds)
[2015-05-02 23:07:20] oida, quitting. (Ping timeout: 276 seconds)
[2015-05-02 23:09:53] oida, joining. (#selenium)
[2015-05-02 23:17:34] p0deje, joining. (#selenium)
[2015-05-02 23:42:24] p0deje, quitting. (Quit: p0deje)
[2015-05-02 23:44:18] sbos99, joining. (#selenium)
[2015-05-02 23:52:33] p0deje, joining. (#selenium)
