[2015-05-23 10:51:15] mekhami, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-05-23 10:51:53] HenriettaSalt, joining. (#selenium)
[2015-05-23 10:53:12] merike, changing nick to merike|away.
[2015-05-23 10:53:13] merike|away, changing nick to merike.
[2015-05-23 11:10:19] Cache_Money, quitting. (Quit: Cache_Money)
[2015-05-23 11:21:38] fabrice31, joining. (#selenium)
[2015-05-23 11:22:45] Cache_Money, joining. (#selenium)
[2015-05-23 11:25:49] epteixeira1, joining. (#selenium)
[2015-05-23 11:25:49] admc, joining. (#selenium)
[2015-05-23 11:26:31] fabrice31, quitting. (Ping timeout: 276 seconds)
[2015-05-23 11:30:28] sbos99, joining. (#selenium)
[2015-05-23 11:32:37] HenriettaSalt_, joining. (#selenium)
[2015-05-23 11:32:48] HenriettaSalt, quitting. (Read error: Connection reset by peer)
[2015-05-23 11:35:18] admc, quitting. (Quit: Leaving.)
[2015-05-23 11:36:11] mekhami, joining. (#selenium)
[2015-05-23 11:40:10] mekhami, quitting. (Client Quit)
[2015-05-23 12:13:51] merike_, joining. (#selenium)
[2015-05-23 12:17:26] merike, quitting. (Ping timeout: 240 seconds)
[2015-05-23 12:17:26] merike_, changing nick to merike.
[2015-05-23 12:18:56] HenriettaSalt_, quitting. (Quit: Lingo: www.lingoirc.com)
[2015-05-23 12:36:26] Tuplario, quitting. (Quit: This computer has gone to sleep)
[2015-05-23 12:38:46] Selenium-Github: [13selenium] 15barancev pushed 4 new commits to 06master: 02http://git.io/vTQxT
[2015-05-23 12:38:46] Selenium-Github: 13selenium/06master 14b5526a8 15Alexei Barantsev: Ignoring inspection profiles in IDEA
[2015-05-23 12:38:47] Selenium-Github: 13selenium/06master 1443ba61c 15Alexei Barantsev: server: Delisting HtmlUnitDriver from the server, there is no reason to run HtmlUnit on server
[2015-05-23 12:38:47] Selenium-Github: 13selenium/06master 1429d7cff 15Alexei Barantsev: Fixing IDEA project dependencies
[2015-05-23 12:40:07] mekhami, joining. (#selenium)
[2015-05-23 12:50:37] mekhami, quitting. (Disconnected by services)
[2015-05-23 12:50:46] seljenkinsbot: Project Build All Java build #6031: FAILURE in 10 min: http://ci.seleniumhq.org:8080/job/Build%20All%20Java/6031/
[2015-05-23 12:51:24] mekhami_, joining. (#selenium)
[2015-05-23 12:52:29] mekhami_, quitting. (Client Quit)
[2015-05-23 12:59:58] rorycb, joining. (#selenium)
[2015-05-23 13:04:08] rorycb, quitting. (Ping timeout: 244 seconds)
[2015-05-23 13:06:58] epteixeira1, quitting. (Ping timeout: 250 seconds)
[2015-05-23 13:07:36] epteixeira, joining. (#selenium)
[2015-05-23 13:10:24] fabrice31, joining. (#selenium)
[2015-05-23 13:14:59] fabrice31, quitting. (Ping timeout: 244 seconds)
[2015-05-23 13:17:41] sbos99, quitting. (Ping timeout: 276 seconds)
[2015-05-23 13:19:47] mekhami, joining. (#selenium)
[2015-05-23 13:20:45] epteixeira1, joining. (#selenium)
[2015-05-23 13:23:42] epteixeira, quitting. (Ping timeout: 272 seconds)
[2015-05-23 13:25:08] epteixeira, joining. (#selenium)
[2015-05-23 13:27:57] epteixeira1, quitting. (Ping timeout: 255 seconds)
[2015-05-23 13:43:12] Padawan, quitting. (Disconnected by services)
[2015-05-23 13:43:21] Padawan_, joining. (#selenium)
[2015-05-23 14:06:16] Padawan_, changing nick to Python.
[2015-05-23 14:06:23] Python, changing nick to Padawan.
[2015-05-23 14:06:50] swampdragons, joining. (#selenium)
[2015-05-23 14:08:58] swampdragons, quitting. (Client Quit)
[2015-05-23 14:22:53] smccarthy, quitting. (Remote host closed the connection)
[2015-05-23 14:24:31] smccarthy, joining. (#selenium)
[2015-05-23 14:28:50] smccarthy, quitting. (Ping timeout: 245 seconds)
[2015-05-23 14:37:01] smccarthy, joining. (#selenium)
[2015-05-23 14:46:44] merike, changing nick to merike|away.
[2015-05-23 14:49:43] bitgeeky, joining. (#selenium)
[2015-05-23 14:53:39] mekhami, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-05-23 14:59:11] fabrice31, joining. (#selenium)
[2015-05-23 15:03:25] fabrice31, quitting. (Ping timeout: 245 seconds)
[2015-05-23 15:18:25] epteixeira, quitting. (Quit: Leaving.)
[2015-05-23 15:22:49] bitgeeky, quitting. (Quit: Leaving)
[2015-05-23 15:40:05] Selenium-Github: [13selenium] 15TikhomirovSergey opened pull request #564: Java: Minor DefaultFieldDecorator improvement  (06master...06protected_list_decoration) 02http://git.io/vT7oA
[2015-05-23 15:51:17] Cache_Money, quitting. (Quit: Cache_Money)
[2015-05-23 16:00:05] mekhami, joining. (#selenium)
[2015-05-23 16:23:38] admc, joining. (#selenium)
[2015-05-23 16:32:05] admc, quitting. (Quit: Leaving.)
[2015-05-23 16:32:26] mekhami, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-05-23 16:37:29] rorycb, joining. (#selenium)
[2015-05-23 16:41:52] mekhami, joining. (#selenium)
[2015-05-23 16:42:18] rorycb, quitting. (Ping timeout: 265 seconds)
[2015-05-23 16:47:59] fabrice31, joining. (#selenium)
[2015-05-23 16:52:56] fabrice31, quitting. (Ping timeout: 265 seconds)
[2015-05-23 17:37:29] mekhami, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-05-23 17:41:43] mekhami, joining. (#selenium)
[2015-05-23 17:43:12] mekhami, quitting. (Client Quit)
[2015-05-23 17:45:31] mekhami, joining. (#selenium)
[2015-05-23 17:46:02] mekhami, quitting. (Client Quit)
[2015-05-23 17:48:38] aCodinMan, joining. (#selenium)
[2015-05-23 18:19:43] smccarthy, quitting. (Remote host closed the connection)
[2015-05-23 18:20:35] matt-bailey, joining. (#selenium)
[2015-05-23 18:20:38] matt-b, quitting. (Ping timeout: 264 seconds)
[2015-05-23 18:22:27] dimacus, joining. (#selenium)
[2015-05-23 18:23:58] dude-x, joining. (#selenium)
[2015-05-23 18:28:12] alko, joining. (#selenium)
