[2013-08-25 00:04:11] admc, joining. (#selenium)
[2013-08-25 00:08:38] admc, quitting. (Ping timeout: 264 seconds)
[2013-08-25 00:34:52] noahsussman, joining. (#selenium)
[2013-08-25 00:34:58] admc, joining. (#selenium)
[2013-08-25 00:39:18] admc, quitting. (Ping timeout: 245 seconds)
[2013-08-25 00:44:11] noahsussman, quitting. (Ping timeout: 245 seconds)
[2013-08-25 00:53:53] plightbo_work, joining. (#selenium)
[2013-08-25 00:58:18] plightbo_work, quitting. (Ping timeout: 264 seconds)
[2013-08-25 01:05:18] admc, joining. (#selenium)
[2013-08-25 01:10:18] admc, quitting. (Ping timeout: 264 seconds)
[2013-08-25 01:14:19] jcalonso, joining. (#selenium)
[2013-08-25 01:22:29] WLP|Away, changing nick to WillPittenger.
[2013-08-25 01:24:59] stackedsax, quitting. (Quit: Leaving.)
[2013-08-25 01:25:58] brokenthumbs, joining. (#selenium)
[2013-08-25 01:26:49] Guest00000, joining. (#selenium)
[2013-08-25 01:29:53] akitada, joining. (#selenium)
[2013-08-25 01:31:24] Guest00000, quitting. (Ping timeout: 256 seconds)
[2013-08-25 01:36:02] admc, joining. (#selenium)
[2013-08-25 01:40:28] admc, quitting. (Ping timeout: 256 seconds)
[2013-08-25 01:46:23] SamuraiJack, quitting. (Ping timeout: 245 seconds)
[2013-08-25 01:54:27] plightbo_work, joining. (#selenium)
[2013-08-25 01:58:53] plightbo_work, quitting. (Ping timeout: 245 seconds)
[2013-08-25 02:02:03] brokenthumbs, quitting. (Quit: Leaving.)
[2013-08-25 02:04:19] stackedsax, joining. (#selenium)
[2013-08-25 02:05:07] p0deje, joining. (#selenium)
[2013-08-25 02:06:41] admc, joining. (#selenium)
[2013-08-25 02:11:38] admc, quitting. (Ping timeout: 264 seconds)
[2013-08-25 02:13:31] p0deje, quitting. (Quit: p0deje)
[2013-08-25 02:13:51] tobie_, joining. (#selenium)
[2013-08-25 02:37:00] admc, joining. (#selenium)
[2013-08-25 02:37:37] tobie_, quitting. (Quit: tobie_)
[2013-08-25 02:38:30] stackedsax, quitting. (Quit: Leaving.)
[2013-08-25 02:41:44] elopio_, joining. (#selenium)
[2013-08-25 02:42:52] elopio, quitting. (Ping timeout: 260 seconds)
[2013-08-25 02:44:53] wilhelm_, joining. (#selenium)
[2013-08-25 02:45:10] wilhelm, quitting. (Ping timeout: 260 seconds)
[2013-08-25 02:45:31] noahsussman, joining. (#selenium)
[2013-08-25 02:45:50] admc, quitting. (Ping timeout: 240 seconds)
[2013-08-25 02:54:43] noahsussman, quitting. (Ping timeout: 246 seconds)
[2013-08-25 02:55:08] plightbo_work, joining. (#selenium)
[2013-08-25 03:03:28] plightbo_work, quitting. (Ping timeout: 245 seconds)
[2013-08-25 03:12:36] admc, joining. (#selenium)
[2013-08-25 03:15:27] mansi, joining. (#selenium)
[2013-08-25 03:17:02] admc, quitting. (Ping timeout: 264 seconds)
[2013-08-25 03:35:19] mansi, quitting. (Remote host closed the connection)
[2013-08-25 03:35:53] mansi, joining. (#selenium)
[2013-08-25 03:40:01] mansi, quitting. (Ping timeout: 245 seconds)
[2013-08-25 03:42:54] admc, joining. (#selenium)
[2013-08-25 03:44:46] SamuraiJack, joining. (#selenium)
[2013-08-25 03:47:13] admc, quitting. (Ping timeout: 246 seconds)
[2013-08-25 03:50:48] noahsussman, joining. (#selenium)
[2013-08-25 03:57:14] jcalonso, quitting. (Remote host closed the connection)
[2013-08-25 03:59:50] noahsussman, quitting. (Ping timeout: 240 seconds)
[2013-08-25 04:00:24] plightbo_work, joining. (#selenium)
[2013-08-25 04:01:19] plightb__, joining. (#selenium)
[2013-08-25 04:01:20] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-08-25 04:05:27] plightb__, quitting. (Ping timeout: 240 seconds)
[2013-08-25 04:13:00] admc, joining. (#selenium)
[2013-08-25 04:18:00] admc, quitting. (Ping timeout: 276 seconds)
[2013-08-25 04:43:35] admc, joining. (#selenium)
[2013-08-25 04:46:28] mansi, joining. (#selenium)
[2013-08-25 04:47:48] admc, quitting. (Ping timeout: 240 seconds)
[2013-08-25 04:51:01] mansi, quitting. (Ping timeout: 248 seconds)
[2013-08-25 05:01:51] plightbo_work, joining. (#selenium)
[2013-08-25 05:06:45] plightbo_work, quitting. (Ping timeout: 276 seconds)
[2013-08-25 05:14:18] admc, joining. (#selenium)
[2013-08-25 05:19:06] admc, quitting. (Ping timeout: 276 seconds)
[2013-08-25 05:45:01] admc, joining. (#selenium)
[2013-08-25 05:49:54] admc, quitting. (Ping timeout: 264 seconds)
[2013-08-25 06:01:26] tilgovi, quitting. (Ping timeout: 264 seconds)
[2013-08-25 06:02:22] plightbo_work, joining. (#selenium)
[2013-08-25 06:06:48] plightbo_work, quitting. (Ping timeout: 245 seconds)
[2013-08-25 06:15:39] admc, joining. (#selenium)
[2013-08-25 06:20:51] admc, quitting. (Ping timeout: 276 seconds)
[2013-08-25 06:29:26] selloggingbot_, joining. (#selenium)
[2013-08-25 06:30:08] swente-, changing nick to swente.
[2013-08-25 06:30:15] mbersoult, joining. (#selenium)
[2013-08-25 06:30:20] jarib, joining. (#selenium)
[2013-08-25 06:30:20] jarib, quitting. (Changing host)
[2013-08-25 06:30:20] jarib, joining. (#selenium)
[2013-08-25 06:30:42] ojii, joining. (#selenium)
[2013-08-25 06:31:06] Ertac, quitting. (Read error: No buffer space available)
[2013-08-25 06:34:21] PeerLesS, joining. (#selenium)
[2013-08-25 06:46:28] admc, joining. (#selenium)
[2013-08-25 06:51:00] admc, quitting. (Ping timeout: 256 seconds)
[2013-08-25 06:58:17] mreedell-work, joining. (#selenium)
[2013-08-25 07:03:06] plightbo_work, joining. (#selenium)
[2013-08-25 07:08:18] plightbo_work, quitting. (Ping timeout: 276 seconds)
[2013-08-25 07:14:38] tourdedave, joining. (#selenium)
[2013-08-25 07:14:54] Oren_Rubin__shex, quitting. (Ping timeout: 264 seconds)
[2013-08-25 07:17:07] admc, joining. (#selenium)
[2013-08-25 07:18:04] mansi, joining. (#selenium)
[2013-08-25 07:20:27] mreedell-work, quitting. (Quit: Computer has gone to sleep.)
[2013-08-25 07:21:25] admc, quitting. (Ping timeout: 248 seconds)
[2013-08-25 07:36:43] noahsussman, joining. (#selenium)
[2013-08-25 07:40:44] stackedsax, joining. (#selenium)
[2013-08-25 07:45:08] stackedsax, quitting. (Ping timeout: 245 seconds)
[2013-08-25 07:45:50] noahsussman, quitting. (Ping timeout: 240 seconds)
[2013-08-25 07:47:49] admc, joining. (#selenium)
[2013-08-25 07:52:26] admc, quitting. (Ping timeout: 264 seconds)
[2013-08-25 08:03:46] plightbo_work, joining. (#selenium)
[2013-08-25 08:06:50] elopio_, quitting. (Ping timeout: 264 seconds)
[2013-08-25 08:08:45] plightbo_work, quitting. (Ping timeout: 276 seconds)
[2013-08-25 08:18:35] admc, joining. (#selenium)
[2013-08-25 08:23:30] admc, quitting. (Ping timeout: 264 seconds)
[2013-08-25 08:35:29] tourdedave, quitting. (Quit: My MacBook has gone to sleep. ZZZzzz…)
[2013-08-25 08:49:17] admc, joining. (#selenium)
