[2013-09-01 12:38:44] mansi, joining. (#selenium)
[2013-09-01 12:50:14] cheezy, quitting. (Remote host closed the connection)
[2013-09-01 12:50:36] girija, quitting. (Read error: Operation timed out)
[2013-09-01 12:53:18] kurtsbees_, quitting. (Ping timeout: 256 seconds)
[2013-09-01 12:55:52] kurtsbees, joining. (#selenium)
[2013-09-01 12:55:56] timbo1, joining. (#selenium)
[2013-09-01 12:56:23] smccarthy, quitting. (Remote host closed the connection)
[2013-09-01 13:11:29] selloggingbot__, joining. (#selenium)
[2013-09-01 13:11:30] BS-Harou, quitting. (Ping timeout: 264 seconds)
[2013-09-01 13:12:06] krosenvold____, quitting. (Ping timeout: 264 seconds)
[2013-09-01 13:12:44] selloggingbot_, quitting. (Remote host closed the connection)
[2013-09-01 13:15:08] mansi, quitting. (Ping timeout: 245 seconds)
[2013-09-01 13:21:10] mansi, joining. (#selenium)
[2013-09-01 13:21:17] mansi, quitting. (Read error: Connection reset by peer)
[2013-09-01 13:21:44] mansi, joining. (#selenium)
[2013-09-01 13:33:35] testingb0t, quitting. (Quit: Leaving.)
[2013-09-01 13:44:58] mansi, quitting. (Remote host closed the connection)
[2013-09-01 13:45:34] mansi, joining. (#selenium)
[2013-09-01 13:49:47] mansi, quitting. (Ping timeout: 240 seconds)
[2013-09-01 13:51:27] timbo1, quitting. (Quit: Leaving.)
[2013-09-01 13:53:39] brokenthumbs, joining. (#selenium)
[2013-09-01 13:56:36] coreyg, joining. (#selenium)
[2013-09-01 14:03:13] brokenthumbs, quitting. (Quit: Leaving.)
[2013-09-01 14:14:18] mreedell-work, joining. (#selenium)
[2013-09-01 14:27:46] mreedell-work, quitting. (Quit: Computer has gone to sleep.)
[2013-09-01 14:31:37] cheezy, joining. (#selenium)
[2013-09-01 14:31:46] md--, joining. (#selenium)
[2013-09-01 14:46:03] mansi, joining. (#selenium)
[2013-09-01 14:50:08] mansi, quitting. (Ping timeout: 245 seconds)
[2013-09-01 14:52:35] brokenthumbs, joining. (#selenium)
[2013-09-01 14:56:10] mansi, joining. (#selenium)
[2013-09-01 15:00:57] mansi, quitting. (Ping timeout: 268 seconds)
[2013-09-01 15:09:33] brokenthumbs, quitting. (Quit: Leaving.)
[2013-09-01 15:12:28] krosenvold____, joining. (#selenium)
[2013-09-01 15:18:00] cheezy, quitting. (Remote host closed the connection)
[2013-09-01 15:27:29] coreyg, quitting. (Quit: coreyg)
[2013-09-01 15:56:39] mansi, joining. (#selenium)
[2013-09-01 16:01:02] mansi, quitting. (Ping timeout: 240 seconds)
[2013-09-01 16:03:09] coreyg, joining. (#selenium)
[2013-09-01 16:29:05] Oscar, joining. (#selenium)
[2013-09-01 16:29:31] coreyg, quitting. (Quit: coreyg)
[2013-09-01 16:31:09] SparkySparkyBoom, quitting. (Ping timeout: 240 seconds)
[2013-09-01 16:32:27] coreyg, joining. (#selenium)
[2013-09-01 16:58:00] Oscar, changing nick to Oscar_Rieken.
[2013-09-01 16:58:28] admc, quitting. (Quit: Leaving.)
[2013-09-01 16:58:42] SparkySparkyBoom, joining. (#selenium)
[2013-09-01 17:24:39] markalanevans, joining. (#selenium)
[2013-09-01 17:28:51] admc, joining. (#selenium)
[2013-09-01 17:28:54] richdownie, joining. (#selenium)
[2013-09-01 17:32:46] richdownie, quitting. (Client Quit)
[2013-09-01 17:36:03] mansi, joining. (#selenium)
[2013-09-01 17:38:30] admc, quitting. (Ping timeout: 264 seconds)
[2013-09-01 18:10:59] Oscar_Rieken1, joining. (#selenium)
[2013-09-01 18:12:09] Oscar_Rieken1, changing nick to Oscar_Rieken_at_.
