[2015-02-15 11:26:13] phasze2, quitting. (Ping timeout: 240 seconds)
[2015-02-15 11:27:43] pa, quitting. (Ping timeout: 240 seconds)
[2015-02-15 11:28:28] pa, joining. (#selenium)
[2015-02-15 11:37:31] swypych, joining. (#selenium)
[2015-02-15 11:41:11] operatiay, joining. (#selenium)
[2015-02-15 11:43:35] operatiay, quitting. (Read error: Connection reset by peer)
[2015-02-15 11:44:41] DarkRift, quitting. (Ping timeout: 246 seconds)
[2015-02-15 11:45:50] operatiay, joining. (#selenium)
[2015-02-15 11:46:12] swypych, quitting. (Remote host closed the connection)
[2015-02-15 11:46:47] operatiay, quitting. (Read error: Connection reset by peer)
[2015-02-15 11:47:01] operatiay, joining. (#selenium)
[2015-02-15 11:51:44] DarkRift, joining. (#selenium)
[2015-02-15 11:51:45] DarkRift, quitting. (Changing host)
[2015-02-15 11:51:45] DarkRift, joining. (#selenium)
[2015-02-15 12:01:05] tony2, joining. (#selenium)
[2015-02-15 12:20:35] vozcelik, joining. (#selenium)
[2015-02-15 12:20:50] ferguso, quitting. (Remote host closed the connection)
[2015-02-15 12:28:38] vozcelik, quitting. (Ping timeout: 250 seconds)
[2015-02-15 12:30:30] operatiay, quitting. (Remote host closed the connection)
[2015-02-15 12:38:28] fatguylaughing, quitting. (Quit: fatguylaughing)
[2015-02-15 12:41:05] fatguylaughing, joining. (#selenium)
[2015-02-15 12:42:15] roel_, joining. (#selenium)
[2015-02-15 12:44:34] DarkRift, quitting. (Ping timeout: 264 seconds)
[2015-02-15 13:02:06] DarkRift, joining. (#selenium)
[2015-02-15 13:02:06] DarkRift, quitting. (Changing host)
[2015-02-15 13:02:06] DarkRift, joining. (#selenium)
[2015-02-15 13:04:38] fabrice31, joining. (#selenium)
[2015-02-15 13:09:14] fabrice31, quitting. (Ping timeout: 240 seconds)
[2015-02-15 13:13:47] roel_, quitting. (Ping timeout: 252 seconds)
[2015-02-15 13:14:26] roel_, joining. (#selenium)
[2015-02-15 13:19:38] nirvdrum, joining. (#selenium)
[2015-02-15 13:20:02] roel_, quitting. (Ping timeout: 252 seconds)
[2015-02-15 13:21:24] ferguso, joining. (#selenium)
[2015-02-15 13:25:44] ferguso, quitting. (Ping timeout: 240 seconds)
[2015-02-15 13:40:06] fatguylaughing, quitting. (Quit: fatguylaughing)
[2015-02-15 13:58:04] emperorcezar, joining. (#selenium)
[2015-02-15 13:58:06] emperorcezar, quitting. (Max SendQ exceeded)
[2015-02-15 13:58:41] emperorcezar, joining. (#selenium)
[2015-02-15 13:58:45] emperorcezar, quitting. (Max SendQ exceeded)
[2015-02-15 13:59:23] emperorcezar, joining. (#selenium)
[2015-02-15 14:07:04] emperorcezar, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-02-15 14:07:23] emperorcezar, joining. (#selenium)
[2015-02-15 14:07:27] emperorcezar, quitting. (Max SendQ exceeded)
[2015-02-15 14:08:03] emperorcezar, joining. (#selenium)
[2015-02-15 14:10:01] emperorcezar, quitting. (Client Quit)
[2015-02-15 14:23:29] tony2, quitting. (Quit: Leaving.)
[2015-02-15 15:22:52] ferguso, joining. (#selenium)
[2015-02-15 15:27:04] ferguso, quitting. (Ping timeout: 244 seconds)
[2015-02-15 15:53:44] nirvdrum, quitting. (Ping timeout: 240 seconds)
[2015-02-15 15:55:36] dimacus, joining. (#selenium)
[2015-02-15 16:02:47] dimacus, quitting. (Quit: Leaving.)
[2015-02-15 16:05:33] Selenium-Git, joining. (#selenium)
[2015-02-15 16:05:33] Selenium-Git: [13selenium] 15martincostello closed pull request #197: Fix For InvalidOperationException In SafariDriverServer.cs. (06master...06master) 02http://git.io/UmZObg
[2015-02-15 16:05:33] Selenium-Git, leaving. (#selenium)
[2015-02-15 16:20:54] DarkRift2, joining. (#selenium)
[2015-02-15 16:20:54] DarkRift2, quitting. (Changing host)
[2015-02-15 16:20:54] DarkRift2, joining. (#selenium)
[2015-02-15 16:22:51] DarkRift, quitting. (Ping timeout: 252 seconds)
[2015-02-15 16:37:49] DarkRift2, quitting. (Ping timeout: 250 seconds)
[2015-02-15 16:54:28] ferguso, joining. (#selenium)
[2015-02-15 16:58:54] ferguso, quitting. (Ping timeout: 250 seconds)
[2015-02-15 17:05:32] dimacus, joining. (#selenium)
[2015-02-15 17:21:43] dimacus, quitting. (Quit: Leaving.)
[2015-02-15 17:24:09] dimacus, joining. (#selenium)
[2015-02-15 17:39:29] dimacus, quitting. (Quit: Leaving.)
[2015-02-15 17:55:37] dimacus, joining. (#selenium)
[2015-02-15 18:30:55] cromero, joining. (#selenium)
[2015-02-15 18:31:05] fabrice31, joining. (#selenium)
