[2015-02-14 12:37:05] Sourcerer, joining. (#selenium)
[2015-02-14 12:39:34] DarkRift, joining. (#selenium)
[2015-02-14 12:39:34] DarkRift, quitting. (Changing host)
[2015-02-14 12:39:34] DarkRift, joining. (#selenium)
[2015-02-14 12:46:13] nonny_t, joining. (#selenium)
[2015-02-14 12:56:26] nonny_t, quitting. (Remote host closed the connection)
[2015-02-14 13:06:01] qiau, changing nick to other_qiau.
[2015-02-14 13:07:53] qiau, joining. (#selenium)
[2015-02-14 13:11:30] ghormoon, joining. (#selenium)
[2015-02-14 13:17:46] HenriettaSalt, joining. (#selenium)
[2015-02-14 13:17:52] HenriettaSalt, quitting. (Remote host closed the connection)
[2015-02-14 13:17:57] HenriettaSalt, joining. (#selenium)
[2015-02-14 13:30:26] fabrice31, joining. (#selenium)
[2015-02-14 13:34:50] fabrice31, quitting. (Ping timeout: 255 seconds)
[2015-02-14 13:38:13] HenriettaSalt, quitting. (Quit: Zzzzz...)
[2015-02-14 13:39:33] nirvdrum, joining. (#selenium)
[2015-02-14 13:44:12] admc, joining. (#selenium)
[2015-02-14 13:48:56] admc, quitting. (Client Quit)
[2015-02-14 13:53:23] HenriettaSalt, joining. (#selenium)
[2015-02-14 13:56:26] HenriettaSalt_, joining. (#selenium)
[2015-02-14 13:56:42] HenriettaSalt, quitting. (Read error: Connection reset by peer)
[2015-02-14 14:08:04] HenriettaSalt_, quitting. (Quit: Zzzzz...)
[2015-02-14 14:21:47] kenju254, quitting. (Ping timeout: 264 seconds)
[2015-02-14 14:28:01] admc, joining. (#selenium)
[2015-02-14 14:29:24] garndt, quitting. (Ping timeout: 245 seconds)
[2015-02-14 14:29:49] hugs_, quitting. (Ping timeout: 245 seconds)
[2015-02-14 14:30:04] ColinSauce, quitting. (Ping timeout: 252 seconds)
[2015-02-14 14:30:39] DocD2, quitting. (Ping timeout: 245 seconds)
[2015-02-14 14:33:44] nicegraham______, quitting. (Ping timeout: 252 seconds)
[2015-02-14 14:41:23] DocD2, joining. (#selenium)
[2015-02-14 14:42:03] admc, quitting. (Quit: Leaving.)
[2015-02-14 14:42:41] hugs_, joining. (#selenium)
[2015-02-14 14:42:47] ColinSauce, joining. (#selenium)
[2015-02-14 14:44:11] ferguso, joining. (#selenium)
[2015-02-14 14:45:20] garndt, joining. (#selenium)
[2015-02-14 14:45:24] farlan, quitting. (Quit: Leaving.)
[2015-02-14 14:47:22] farlan, joining. (#selenium)
[2015-02-14 14:52:21] nicegraham______, joining. (#selenium)
[2015-02-14 14:56:15] farlan, quitting. (Quit: Leaving.)
[2015-02-14 14:57:07] farlan, joining. (#selenium)
[2015-02-14 15:00:42] smccarthy, quitting. (Quit: Leaving...)
[2015-02-14 15:09:06] HenriettaSalt_, joining. (#selenium)
[2015-02-14 15:13:21] HenriettaSalt_, quitting. (Ping timeout: 246 seconds)
[2015-02-14 15:19:15] fabrice31, joining. (#selenium)
[2015-02-14 15:21:25] emperorcezar, joining. (#selenium)
[2015-02-14 15:22:01] nonny_t, joining. (#selenium)
[2015-02-14 15:24:11] fabrice31, quitting. (Ping timeout: 264 seconds)
[2015-02-14 15:24:41] emperorcezar, quitting. (Client Quit)
[2015-02-14 15:36:03] tony3, quitting. (Quit: Leaving.)
[2015-02-14 15:37:40] jarth566, joining. (#selenium)
[2015-02-14 15:48:11] slawrence00, quitting. (Ping timeout: 264 seconds)
[2015-02-14 15:57:32] kenju254, joining. (#selenium)
[2015-02-14 16:03:18] ferguso, quitting. (Remote host closed the connection)
[2015-02-14 16:09:48] HenriettaSalt_, joining. (#selenium)
[2015-02-14 16:14:03] HenriettaSalt_, quitting. (Ping timeout: 244 seconds)
[2015-02-14 16:17:20] Sourcerer, quitting. ()
[2015-02-14 16:21:35] HenriettaSalt_, joining. (#selenium)
[2015-02-14 16:47:32] tony2, joining. (#selenium)
[2015-02-14 16:49:47] nonny_t, quitting. (Remote host closed the connection)
[2015-02-14 16:55:52] DarkRift, quitting. (Ping timeout: 264 seconds)
[2015-02-14 17:08:18] fabrice31, joining. (#selenium)
[2015-02-14 17:12:26] fabrice31, quitting. (Ping timeout: 244 seconds)
[2015-02-14 17:12:49] admc, joining. (#selenium)
[2015-02-14 17:13:01] stryx`_, quitting. (Changing host)
[2015-02-14 17:13:02] stryx`_, joining. (#selenium)
[2015-02-14 17:25:13] admc, quitting. (Quit: Leaving.)
[2015-02-14 17:27:16] ferguso, joining. (#selenium)
[2015-02-14 17:38:21] ferguso, quitting. (Remote host closed the connection)
[2015-02-14 17:54:55] tony2, quitting. (Quit: Leaving.)
[2015-02-14 18:34:19] fatguylaughing, joining. (#selenium)
[2015-02-14 18:47:36] nirvdrum, quitting. (Ping timeout: 264 seconds)
[2015-02-14 18:52:26] DarkRift, joining. (#selenium)
[2015-02-14 18:52:27] DarkRift, quitting. (Changing host)
[2015-02-14 18:52:27] DarkRift, joining. (#selenium)
[2015-02-14 18:56:37] fabrice31, joining. (#selenium)
[2015-02-14 19:01:03] fabrice31, quitting. (Ping timeout: 250 seconds)
[2015-02-14 19:02:51] admc, joining. (#selenium)
[2015-02-14 19:23:29] HenriettaSalt_, quitting. (Quit: Zzzzz...)
[2015-02-14 19:26:57] HenriettaSalt_, joining. (#selenium)
[2015-02-14 19:27:22] operatia_, quitting. (Remote host closed the connection)
[2015-02-14 19:30:38] admc, quitting. (Quit: Leaving.)
[2015-02-14 19:33:35] HenriettaSalt_, quitting. (Quit: Zzzzz...)
[2015-02-14 19:41:43] gabriel_, joining. (#selenium)
[2015-02-14 19:42:00] gabriel_, quitting. (Client Quit)
[2015-02-14 19:51:09] fatguylaughing, quitting. (Quit: fatguylaughing)
[2015-02-14 20:00:41] fatguylaughing, joining. (#selenium)
[2015-02-14 20:14:55] smccarthy, joining. (#selenium)
[2015-02-14 20:29:25] mtscout6, quitting. (Ping timeout: 245 seconds)
[2015-02-14 20:29:50] jgornick, quitting. (Ping timeout: 245 seconds)
[2015-02-14 20:32:05] mtscout6, joining. (#selenium)
[2015-02-14 20:32:07] jgornick, joining. (#selenium)
[2015-02-14 20:32:45] dmarr, quitting. (Ping timeout: 245 seconds)
[2015-02-14 20:32:45] aguynamedben, quitting. (Ping timeout: 245 seconds)
[2015-02-14 20:32:54] aguynamedben, joining. (#selenium)
[2015-02-14 20:34:13] dmarr, joining. (#selenium)
[2015-02-14 20:34:31] HenriettaSalt_, joining. (#selenium)
[2015-02-14 20:38:40] HenriettaSalt_, quitting. (Ping timeout: 240 seconds)
[2015-02-14 20:39:19] ferguso, joining. (#selenium)
[2015-02-14 20:43:26] ferguso, quitting. (Ping timeout: 246 seconds)
[2015-02-14 20:45:26] fabrice31, joining. (#selenium)
[2015-02-14 20:49:58] fabrice31, quitting. (Ping timeout: 244 seconds)
[2015-02-14 21:06:03] fatguylaughing, quitting. (Quit: fatguylaughing)
[2015-02-14 21:22:46] smccarthy, quitting. (Remote host closed the connection)
[2015-02-14 21:25:45] stryx`_, changing nick to stryx`.
[2015-02-14 21:35:22] HenriettaSalt_, joining. (#selenium)
[2015-02-14 21:39:47] HenriettaSalt_, quitting. (Ping timeout: 246 seconds)
[2015-02-14 21:43:10] dmarr, quitting. (Ping timeout: 245 seconds)
[2015-02-14 21:46:49] dmarr, joining. (#selenium)
[2015-02-14 22:12:56] fatguylaughing, joining. (#selenium)
[2015-02-14 22:22:10] smccarthy, joining. (#selenium)
[2015-02-14 22:26:44] smccarthy, quitting. (Client Quit)
[2015-02-14 22:34:15] fabrice31, joining. (#selenium)
[2015-02-14 22:36:07] HenriettaSalt_, joining. (#selenium)
[2015-02-14 22:38:56] fabrice31, quitting. (Ping timeout: 246 seconds)
[2015-02-14 22:40:33] HenriettaSalt_, quitting. (Ping timeout: 244 seconds)
[2015-02-14 22:49:51] fatguylaughing, quitting. (Ping timeout: 244 seconds)
[2015-02-14 22:53:48] fatguylaughing, joining. (#selenium)
[2015-02-14 23:19:29] fatguylaughing, quitting. (Ping timeout: 250 seconds)
[2015-02-14 23:25:01] fatguylaughing, joining. (#selenium)
[2015-02-14 23:36:52] HenriettaSalt_, joining. (#selenium)
[2015-02-14 23:41:37] HenriettaSalt_, quitting. (Ping timeout: 264 seconds)
[2015-02-14 23:49:49] wicope, joining. (#selenium)
[2015-02-14 23:57:22] nonny_t, joining. (#selenium)
