[2014-09-15 03:26:46] L0u1s, changing nick to L0u0s.
[2014-09-15 03:26:52] amit_341, joining. (#selenium)
[2014-09-15 03:27:35] L0u0s, changing nick to L0u1s.
[2014-09-15 03:30:12] andy_seit2, joining. (#selenium)
[2014-09-15 03:30:34] L0u1s, quitting. ()
[2014-09-15 03:31:02] andy_seit, quitting. (Ping timeout: 245 seconds)
[2014-09-15 03:39:19] amit_341, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2014-09-15 03:41:46] selbot2__: 04 Open issues: 814
[2014-09-15 03:53:00] neeti_, joining. (#selenium)
[2014-09-15 03:56:20] kr1s, quitting. (Remote host closed the connection)
[2014-09-15 03:57:00] kr1s, joining. (#selenium)
[2014-09-15 03:57:05] neeti, quitting. (Ping timeout: 258 seconds)
[2014-09-15 04:01:34] kr1s, quitting. (Ping timeout: 250 seconds)
[2014-09-15 04:04:57] andy_seit, joining. (#selenium)
[2014-09-15 04:05:31] amit_341, joining. (#selenium)
[2014-09-15 04:06:41] andy_seit2, quitting. (Ping timeout: 272 seconds)
[2014-09-15 04:08:14] amikiri, joining. (#selenium)
[2014-09-15 04:09:45] tony2, joining. (#selenium)
[2014-09-15 04:11:47] selbot2__: 04 Open issues: 814
[2014-09-15 04:14:20] tony2, quitting. (Ping timeout: 258 seconds)
[2014-09-15 04:14:49] amit_341, quitting. (Quit: Textual IRC Client: www.textualapp.com)
[2014-09-15 04:15:11] amit_341, joining. (#selenium)
[2014-09-15 04:21:34] blaatmeister_, changing nick to blaatmeister.
[2014-09-15 04:23:53] farlan, quitting. (Quit: Leaving.)
[2014-09-15 04:25:18] riotz, quitting. (Ping timeout: 246 seconds)
[2014-09-15 04:25:48] riotz, joining. (#selenium)
[2014-09-15 04:26:16] fabrice31, joining. (#selenium)
[2014-09-15 04:27:06] amikiri, quitting. (Quit: Textual IRC Client: www.textualapp.com)
[2014-09-15 04:27:11] tony2, joining. (#selenium)
[2014-09-15 04:29:53] Selenium-Git, joining. (#selenium)
[2014-09-15 04:29:53] Selenium-Git: [13selenium] 15mkresin closed pull request #248: Fix javascript errors  in IDE (06master...06master) 02http://git.io/dFjz-g
[2014-09-15 04:29:53] Selenium-Git, leaving. (#selenium)
[2014-09-15 04:30:10] Albino, quitting. (Quit: Leaving.)
[2014-09-15 04:35:30] neeti_, quitting. (Remote host closed the connection)
[2014-09-15 04:39:09] Albino, joining. (#selenium)
[2014-09-15 04:41:47] selbot2__: 04 Open issues: 815
[2014-09-15 04:57:15] kr1s, joining. (#selenium)
[2014-09-15 05:01:40] kr1s, quitting. (Ping timeout: 260 seconds)
[2014-09-15 05:07:08] kr1s, joining. (#selenium)
[2014-09-15 05:10:49] kr1s, quitting. (Read error: No route to host)
[2014-09-15 05:10:52] d0x_, joining. (#selenium)
[2014-09-15 05:11:12] SitamJana, quitting. (Quit: SitamJana)
[2014-09-15 05:11:46] selbot2__: 04 Open issues: 816
[2014-09-15 05:12:14] SitamJana, joining. (#selenium)
[2014-09-15 05:35:28] farlan, joining. (#selenium)
[2014-09-15 05:37:49] SamuraiJack, joining. (#selenium)
[2014-09-15 05:41:46] selbot2__: 04 Open issues: 817
[2014-09-15 05:53:46] operatiay, quitting. (Remote host closed the connection)
[2014-09-15 05:53:52] Guest43753, quitting. (Ping timeout: 240 seconds)
[2014-09-15 05:57:38] dimacus, joining. (#selenium)
[2014-09-15 06:00:55] amit_341, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2014-09-15 06:01:14] dale_fukami1, quitting. (Read error: Connection reset by peer)
[2014-09-15 06:01:15] amit_341, joining. (#selenium)
[2014-09-15 06:04:40] dale_fukami, joining. (#selenium)
[2014-09-15 06:09:26] operatiay, joining. (#selenium)
[2014-09-15 06:11:06] cgoldberg, joining. (#selenium)
[2014-09-15 06:11:47] selbot2__: 04 Open issues: 817
[2014-09-15 06:14:29] Albino, quitting. (Quit: Leaving.)
[2014-09-15 06:23:04] cmcgraw, joining. (#selenium)
[2014-09-15 06:23:23] elstif, joining. (#selenium)
[2014-09-15 06:29:52] coreyg, joining. (#selenium)
[2014-09-15 06:36:47] dude-x, quitting. (Remote host closed the connection)
[2014-09-15 06:37:30] amit_341, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2014-09-15 06:39:06] amit_341, joining. (#selenium)
[2014-09-15 06:41:46] selbot2__: 04 Open issues: 818
[2014-09-15 06:42:22] joshin4colours, joining. (#selenium)
[2014-09-15 06:43:38] cristi, quitting. (Ping timeout: 250 seconds)
[2014-09-15 06:44:43] rodrigomartin, joining. (#selenium)
[2014-09-15 06:50:22] simonstewart, joining. (#selenium)
[2014-09-15 06:50:33] simonstewart: Right. What’s on fire?
[2014-09-15 06:51:14] AutomatedTester: um... nothing?
[2014-09-15 06:52:03] rodrigomartin, quitting. (Ping timeout: 255 seconds)
[2014-09-15 06:54:21] simonstewart: Ah ha! I found the place where nothing’s on fire.
[2014-09-15 06:54:26] simonstewart: I might lurk here for a bit.
[2014-09-15 06:54:38] simonstewart: Because EVERYWHERE ELSE, EVERYTHING IS BURNING!
[2014-09-15 06:55:50] dude-x, joining. (#selenium)
[2014-09-15 06:56:05] *dimacus slinks away to get gasoline and a box of matches'
[2014-09-15 06:56:14] smccarthy, joining. (#selenium)
[2014-09-15 06:56:43] simonstewart: Thanks, dimacus
[2014-09-15 06:56:56] dimacus: just want to make you feel at home, that's all
[2014-09-15 06:58:24] AutomatedTester: simonstewart: Pat says hi
[2014-09-15 07:01:05] smccarthy, quitting. (Ping timeout: 272 seconds)
[2014-09-15 07:03:47] andy_seit2, joining. (#selenium)
[2014-09-15 07:04:58] rodrigomartin, joining. (#selenium)
[2014-09-15 07:05:17] andy_seit, quitting. (Ping timeout: 272 seconds)
